Drug_Database,Targets
dipyridamole_ChEMBL,"['PDE1C', 'PDE6A', 'PDE6G', 'PDE4C', 'PDE3B', 'PDE7B', 'PDE6D', 'PDE6C', 'PDE8A', 'PDE4A', 'PDE1A', 'PDE6B', 'PDE2A', 'PDE10A', 'PDE5A', 'PDE4D', 'PDE4B', 'PDE9A', 'PDE6H', 'PDE8B', 'PDE3A', 'PDE7A', 'PDE1B', 'SLC29A1']"
isoflurane_ChEMBL,"['GABRB2', 'GABRA1', 'GABRA6', 'GABRE', 'GABRA3', 'KCNK18', 'GLRA1', 'GABRB3', 'KCNK2', 'KCNK9', 'KCNK10', 'GLRB', 'GABRB1', 'GABRA2', 'GABRG1', 'GABRA5', 'GABRA4', 'GABRG3', 'GABRD', 'GABRQ', 'GABRP', 'KCNK3', 'GABRG2']"
desflurane_ChEMBL,"['GABRB2', 'GABRA1', 'GABRA6', 'GABRE', 'GABRA3', 'KCNK18', 'GLRA1', 'GABRB3', 'KCNK2', 'KCNK9', 'KCNK10', 'GLRB', 'GABRB1', 'GABRA2', 'GABRG1', 'GABRA5', 'GABRA4', 'GABRG3', 'GABRD', 'GABRQ', 'GABRP', 'KCNK3', 'GABRG2']"
sevoflurane_ChEMBL,"['GABRB2', 'GABRA1', 'GABRA6', 'GABRE', 'GABRA3', 'KCNK18', 'GLRA1', 'GABRB3', 'KCNK2', 'KCNK9', 'KCNK10', 'GLRB', 'GABRB1', 'GABRA2', 'GABRG1', 'GABRA5', 'GABRA4', 'GABRG3', 'GABRD', 'GABRQ', 'GABRP', 'KCNK3', 'GABRG2']"
acamprosate_ChEMBL,"['GABRB2', 'GABRA1', 'GABRA6', 'GABRE', 'GABRA3', 'GABRB3', 'GRIN2D', 'GABRA2', 'GABRB1', 'GRIN2C', 'GABRG1', 'GABRA5', 'GABRA4', 'GABRG3', 'GABRD', 'GABRQ', 'GABRP', 'GRIN1', 'GRIN2B', 'GRIN3B', 'GRIN2A', 'GABRG2', 'GRIN3A']"
orphenadrine_ChEMBL,"['HRH1', 'SCN9A', 'SCN1A', 'SCN5A', 'GRIN2D', 'SCN10A', 'SCN8A', 'SCN11A', 'GRIN2C', 'SCN7A', 'GRIN1', 'GRIN2B', 'SCN3A', 'GRIN3B', 'GRIN2A', 'GRIN3A', 'SCN4A', 'SCN2A', 'SLC6A2']"
regorafenib_ChEMBL,"['RET', 'TEK', 'DDR2', 'FLT4', 'ABL1', 'PDGFRB', 'FGFR2', 'KDR', 'EPHA2', 'FRK', 'FGFR1', 'RAF1', 'MAPK11', 'FLT1', 'BRAF', 'NTRK1', 'KIT', 'PDGFRA']"
flurazepam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
meprobamate_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
lorazepam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
oxazepam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
butabarbital_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
methohexital_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
flumazenil_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
butalbital_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
midazolam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
brentuximab vedotin_ChEMBL,"['TUBB4A', 'TUBA4A', 'TUBB6', 'TUBB2B', 'TUBA3C', 'TUBB3', 'TUBB4B', 'TUBA3E', 'TUBB', 'TNFRSF8', 'TUBA1B', 'TUBA1C', 'TUBB1', 'TUBB2A', 'TUBB8', 'TUBA1A']"
triazolam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
etomidate_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
clonazepam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
eszopiclone_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
trastuzumab emtansine_ChEMBL,"['TUBB4A', 'TUBA4A', 'TUBB6', 'TUBB2B', 'TUBA3C', 'TUBB3', 'ERBB2', 'TUBB4B', 'TUBA3E', 'TUBB', 'TUBA1B', 'TUBA1C', 'TUBB1', 'TUBB2A', 'TUBB8', 'TUBA1A']"
clobazam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
secobarbital_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
quazepam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
propofol_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
temazepam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
alprazolam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
diazepam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
dronedarone_ChEMBL,"['CACNA1D', 'SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'CACNA1F', 'SCN9A', 'HCN4', 'SCN8A', 'SCN10A', 'CACNA1S', 'SCN4A', 'SCN2A', 'CACNA1C', 'KCNJ2']"
pentobarbital_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
chlordiazepoxide_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
estazolam_ChEMBL,"['GABRA2', 'GABRB1', 'GABRG1', 'GABRB3', 'GABRB2', 'GABRA1', 'GABRA5', 'GABRA6', 'GABRA4', 'GABRG3', 'GABRE', 'GABRA3', 'GABRD', 'GABRQ', 'GABRG2', 'GABRP']"
dasatinib_ChEMBL,"['LYN', 'FGR', 'LCK', 'ABL1', 'PDGFRB', 'BCR', 'HCK', 'EPHA2', 'BLK', 'FRK', 'FYN', 'SRMS', 'YES1', 'SRC', 'KIT']"
eribulin_ChEMBL,"['TUBB4A', 'TUBA4A', 'TUBB6', 'TUBB2B', 'TUBA3C', 'TUBB3', 'TUBB4B', 'TUBA3E', 'TUBB', 'TUBA1B', 'TUBA1C', 'TUBB1', 'TUBB2A', 'TUBB8', 'TUBA1A']"
colchicine_ChEMBL,"['TUBB4A', 'TUBA4A', 'TUBB6', 'TUBB2B', 'TUBA3C', 'TUBB3', 'TUBB4B', 'TUBA3E', 'TUBB', 'TUBA1B', 'TUBA1C', 'TUBB1', 'TUBB2A', 'TUBB8', 'TUBA1A']"
cabazitaxel_ChEMBL,"['TUBB4A', 'TUBA4A', 'TUBB6', 'TUBB2B', 'TUBA3C', 'TUBB3', 'TUBB4B', 'TUBA3E', 'TUBB', 'TUBA1B', 'TUBA1C', 'TUBB1', 'TUBB2A', 'TUBB8', 'TUBA1A']"
ixabepilone_ChEMBL,"['TUBB4A', 'TUBA4A', 'TUBB6', 'TUBB2B', 'TUBA3C', 'TUBB3', 'TUBB4B', 'TUBA3E', 'TUBB', 'TUBA1B', 'TUBA1C', 'TUBB1', 'TUBB2A', 'TUBB8', 'TUBA1A']"
vinorelbine_ChEMBL,"['TUBB4A', 'TUBA4A', 'TUBB6', 'TUBB2B', 'TUBA3C', 'TUBB3', 'TUBB4B', 'TUBA3E', 'TUBB', 'TUBA1B', 'TUBA1C', 'TUBB1', 'TUBB2A', 'TUBB8', 'TUBA1A']"
vincristine_ChEMBL,"['TUBB4A', 'TUBA4A', 'TUBB6', 'TUBB2B', 'TUBA3C', 'TUBB3', 'TUBB4B', 'TUBA3E', 'TUBB', 'TUBA1B', 'TUBA1C', 'TUBB1', 'TUBB2A', 'TUBB8', 'TUBA1A']"
vinblastine_ChEMBL,"['TUBB4A', 'TUBA4A', 'TUBB6', 'TUBB2B', 'TUBA3C', 'TUBB3', 'TUBB4B', 'TUBA3E', 'TUBB', 'TUBA1B', 'TUBA1C', 'TUBB1', 'TUBB2A', 'TUBB8', 'TUBA1A']"
paclitaxel_ChEMBL,"['TUBB4A', 'TUBA4A', 'TUBB6', 'TUBB2B', 'TUBA3C', 'TUBB3', 'TUBB4B', 'TUBA3E', 'TUBB', 'TUBA1B', 'TUBA1C', 'TUBB1', 'TUBB2A', 'TUBB8', 'TUBA1A']"
gemcitabine_ChEMBL,"['POLE2', 'RRM2B', 'RRM2', 'POLA1', 'RRM1', 'POLD2', 'POLA2', 'POLD4', 'PRIM2', 'POLE', 'PRIM1', 'POLD1', 'POLE3', 'POLD3']"
clofarabine_ChEMBL,"['POLE2', 'RRM2B', 'RRM2', 'POLA1', 'RRM1', 'POLD2', 'POLA2', 'POLD4', 'PRIM2', 'POLE', 'PRIM1', 'POLD1', 'POLE3', 'POLD3']"
propafenone_ChEMBL,"['SCN11A', 'ADRB1', 'SCN7A', 'SCN1A', 'ADRB2', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
romidepsin_ChEMBL,"['HDAC6', 'HDAC9', 'HDAC3', 'HDAC2', 'HDAC11', 'HDAC5', 'HDAC4', 'HDAC8', 'HDAC10', 'HDAC7', 'HDAC1']"
pazopanib_ChEMBL,"['ITK', 'PDGFRB', 'LCK', 'FLT4', 'KDR', 'FGFR3', 'FGFR1', 'FLT1', 'KIT', 'CSF1R', 'PDGFRA']"
belinostat_ChEMBL,"['HDAC6', 'HDAC9', 'HDAC3', 'HDAC2', 'HDAC11', 'HDAC5', 'HDAC4', 'HDAC8', 'HDAC10', 'HDAC7', 'HDAC1']"
cytarabine_ChEMBL,"['POLE2', 'POLA1', 'POLD2', 'POLA2', 'POLD4', 'PRIM2', 'POLE', 'PRIM1', 'POLD1', 'POLE3', 'POLD3']"
panobinostat_ChEMBL,"['HDAC6', 'HDAC9', 'HDAC3', 'HDAC2', 'HDAC11', 'HDAC5', 'HDAC4', 'HDAC8', 'HDAC10', 'HDAC7', 'HDAC1']"
prilocaine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
procainamide_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
quinidine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
riluzole_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
carbamazepine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
cocaine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
phenytoin_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
ropivacaine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
rufinamide_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
chloroprocaine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
tetracaine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
theophylline_ChEMBL,"['ADORA1', 'PDE3A', 'ADORA2B', 'ADORA2A', 'PDE4D', 'PDE4C', 'PDE4B', 'PDE4A', 'PDE3B', 'ADORA3']"
disopyramide_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
procaine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
fosphenytoin_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
phenazopyridine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
lamotrigine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
lidocaine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
mepivacaine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
mexiletine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
ethotoin_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
oxcarbazepine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
zonisamide_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
dyclonine_ChEMBL,"['SCN11A', 'SCN7A', 'SCN1A', 'SCN5A', 'SCN3A', 'SCN9A', 'SCN8A', 'SCN10A', 'SCN4A', 'SCN2A']"
droxidopa_ChEMBL,"['ADRB1', 'ADRB3', 'ADRA1D', 'ADRA1B', 'ADRB2', 'ADRA2B', 'ADRA2C', 'ADRA1A', 'ADRA2A']"
labetalol_ChEMBL,"['ADRB1', 'ADRB3', 'ADRA1D', 'ADRA1B', 'ADRB2', 'ADRA2B', 'ADRA2C', 'ADRA1A', 'ADRA2A']"
epinephrine_ChEMBL,"['ADRB1', 'ADRB3', 'ADRA1D', 'ADRA1B', 'ADRB2', 'ADRA2B', 'ADRA2C', 'ADRA1A', 'ADRA2A']"
ephedrine_ChEMBL,"['ADRB1', 'ADRB3', 'ADRA1D', 'ADRA1B', 'ADRB2', 'ADRA2B', 'ADRA2C', 'ADRA1A', 'ADRA2A']"
nintedanib_ChEMBL,"['PDGFRB', 'FLT4', 'FGFR2', 'KDR', 'FGFR3', 'FGFR1', 'FGFR4', 'FLT1', 'PDGFRA']"
sunitinib_ChEMBL,"['PDGFRA', 'FLT4', 'PDGFRB', 'KDR', 'FLT1', 'RET', 'KIT', 'CSF1R', 'FLT3']"
sorafenib_ChEMBL,"['FLT4', 'PDGFRB', 'KDR', 'RAF1', 'FLT1', 'BRAF', 'RET', 'KIT', 'FLT3']"
digoxin_ChEMBL,"['ATP1B1', 'FXYD2', 'ATP1B2', 'ATP1A4', 'ATP1A2', 'ATP1A3', 'ATP1A1', 'ATP1B3']"
trimipramine_ChEMBL,"['HRH1', 'HTR2A', 'ADRA1D', 'HTR2C', 'ADRA1B', 'DRD2', 'ADRA1A', 'SLC6A2']"
bedaquiline_ChEMBL,"['atpD', 'atpB', 'atpC', 'atpFH', 'atpE', 'atpF', 'atpG', 'atpA']"
amantadine_ChEMBL,"['GRIN2B', 'GRIN2C', 'GRIN3B', 'GRIN2A', 'M', 'GRIN3A', 'GRIN2D', 'GRIN1']"
doripenem_ChEMBL,"['mrdA', 'dacA', 'mrcB', 'mrcA', 'ftsI', 'dacB', 'dacC']"
cefaclor_ChEMBL,"['mrdA', 'dacA', 'mrcB', 'mrcA', 'ftsI', 'dacB', 'dacC']"
