Gene Symbol	CUI Term	Phenotype Name
DDC	cui_tp_hypertension	phen_tp_hypertension
EP300	cui_tp_hypertension	phen_tp_hypertension
PTGER1	cui_tp_hypertension	phen_tp_hypertension
SERPINA1	cui_tp_hypertension	phen_tp_hypertension
STAT5A	cui_tp_hypertension	phen_tp_hypertension
BRCA1	cui_tp_hypertension	phen_tp_hypertension
TLR3	cui_tp_hypertension	phen_tp_hypertension
KDM4A	cui_tp_hypertension	phen_tp_hypertension
KCNJ11	cui_tp_hypertension	phen_tp_hypertension
KLKB1	cui_tp_hypertension	phen_tp_hypertension
ENO1	cui_tp_hypertension	phen_tp_hypertension
CEP290	cui_tp_hypertension	phen_tp_hypertension
PLAT	cui_tp_hypertension	phen_tp_hypertension
GHR	cui_tp_hypertension	phen_tp_hypertension
EFNA1	cui_tp_hypertension	phen_tp_hypertension
C4BPA	cui_tp_hypertension	phen_tp_hypertension
MYD88	cui_tp_hypertension	phen_tp_hypertension
RYR1	cui_tp_hypertension	phen_tp_hypertension
RFC2	cui_tp_hypertension	phen_tp_hypertension
TGFA	cui_tp_hypertension	phen_tp_hypertension
CFH	cui_tp_hypertension	phen_tp_hypertension
CCNE1	cui_tp_hypertension	phen_tp_hypertension
ESR2	cui_tp_hypertension	phen_tp_hypertension
IL12B	cui_tp_hypertension	phen_tp_hypertension
STAT3	cui_tp_hypertension	phen_tp_hypertension
CEP164	cui_tp_hypertension	phen_tp_hypertension
VAV3	cui_tp_hypertension	phen_tp_hypertension
RAC2	cui_tp_hypertension	phen_tp_hypertension
POU5F1	cui_tp_hypertension	phen_tp_hypertension
F5	cui_tp_hypertension	phen_tp_hypertension
SERPINA3	cui_tp_hypertension	phen_tp_hypertension
CDKN1A	cui_tp_hypertension	phen_tp_hypertension
C4BPB	cui_tp_hypertension	phen_tp_hypertension
GOSR2	cui_tp_hypertension	phen_tp_hypertension
SERPINE1	cui_tp_hypertension	phen_tp_hypertension
TOPBP1	cui_tp_hypertension	phen_tp_hypertension
TUBB1	cui_tp_hypertension	phen_tp_hypertension
MAPK1	cui_tp_hypertension	phen_tp_hypertension
NOS2	cui_tp_hypertension	phen_tp_hypertension
MAPK3	cui_tp_hypertension	phen_tp_hypertension
RAD51	cui_tp_hypertension	phen_tp_hypertension
TGFBR1	cui_tp_hypertension	phen_tp_hypertension
F12	cui_tp_hypertension	phen_tp_hypertension
C1QB	cui_tp_hypertension	phen_tp_hypertension
TGFB1	cui_tp_hypertension	phen_tp_hypertension
CHEK2	cui_tp_hypertension	phen_tp_hypertension
TACR2	cui_tp_hypertension	phen_tp_hypertension
EPHA3	cui_tp_hypertension	phen_tp_hypertension
B2M	cui_tp_hypertension	phen_tp_hypertension
TP53BP1	cui_tp_hypertension	phen_tp_hypertension
PDIA3	cui_tp_hypertension	phen_tp_hypertension
OFD1	cui_tp_hypertension	phen_tp_hypertension
NGF	cui_tp_hypertension	phen_tp_hypertension
OXTR	cui_tp_hypertension	phen_tp_hypertension
CYP11A1	cui_knockout_hypertension	phen_knockout_hypertension
SERPINA3	cui_knockout_hypertension	phen_knockout_hypertension
CEP290	cui_knockout_hypertension	phen_knockout_hypertension
MAPK3	cui_knockout_hypertension	phen_knockout_hypertension
LTA	cui_knockout_hypertension	phen_knockout_hypertension
SMAD3	cui_knockout_hypertension	phen_knockout_hypertension
PLAT	cui_knockout_hypertension	phen_knockout_hypertension
ESR2	cui_knockout_hypertension	phen_knockout_hypertension
F2RL3	cui_knockout_hypertension	phen_knockout_hypertension
MTOR	cui_knockout_hypertension	phen_knockout_hypertension
TLR4	cui_knockout_hypertension	phen_knockout_hypertension
PLG	cui_knockout_hypertension	phen_knockout_hypertension
MYD88	cui_knockout_hypertension	phen_knockout_hypertension
CD59	cui_knockout_hypertension	phen_knockout_hypertension
CHEK2	cui_knockout_hypertension	phen_knockout_hypertension
IL12B	cui_knockout_hypertension	phen_knockout_hypertension
FLT4	cui_knockout_hypertension	phen_knockout_hypertension
EPHA3	cui_knockout_hypertension	phen_knockout_hypertension
C1QB	cui_knockout_hypertension	phen_knockout_hypertension
OFD1	cui_knockout_hypertension	phen_knockout_hypertension
GH1	cui_knockout_hypertension	phen_knockout_hypertension
VAV3	cui_knockout_hypertension	phen_knockout_hypertension
SHMT1	cui_knockout_hypertension	phen_knockout_hypertension
SDCCAG8	cui_knockout_hypertension	phen_knockout_hypertension
F2RL1	cui_knockout_hypertension	phen_knockout_hypertension
AKT1	cui_knockout_hypertension	phen_knockout_hypertension
OXTR	cui_knockout_hypertension	phen_knockout_hypertension
MAP2K1	cui_knockout_hypertension	phen_knockout_hypertension
TTR	cui_knockout_hypertension	phen_knockout_hypertension
SMAD2	cui_knockout_hypertension	phen_knockout_hypertension
PPIA	cui_knockout_hypertension	phen_knockout_hypertension
CFH	cui_knockout_hypertension	phen_knockout_hypertension
ALMS1	cui_knockout_hypertension	phen_knockout_hypertension
POU5F1	cui_knockout_hypertension	phen_knockout_hypertension
MAPK1	cui_knockout_hypertension	phen_knockout_hypertension
VAV2	cui_knockout_hypertension	phen_knockout_hypertension
KCNJ11	cui_knockout_hypertension	phen_knockout_hypertension
BDNF	cui_knockout_hypertension	phen_knockout_hypertension
CEP164	cui_knockout_hypertension	phen_knockout_hypertension
TGFBR1	cui_knockout_hypertension	phen_knockout_hypertension
TP53BP1	cui_knockout_hypertension	phen_knockout_hypertension
BRCA1	cui_knockout_hypertension	phen_knockout_hypertension
DYNLL1	cui_knockout_hypertension	phen_knockout_hypertension
APOE	cui_knockout_hypertension	phen_knockout_hypertension
NFKBIA	cui_knockout_hypertension	phen_knockout_hypertension
C4BPB	cui_knockout_hypertension	phen_knockout_hypertension
GSTA1	cui_knockout_hypertension	phen_knockout_hypertension
XRCC6	cui_knockout_hypertension	phen_knockout_hypertension
FGA	cui_knockout_hypertension	phen_knockout_hypertension
STAT5A	cui_knockout_hypertension	phen_knockout_hypertension
RYR1	cui_knockout_hypertension	phen_knockout_hypertension
TACR2	cui_knockout_hypertension	phen_knockout_hypertension
GOSR2	cui_knockout_hypertension	phen_knockout_hypertension
SMAD7	cui_knockout_hypertension	phen_knockout_hypertension
TACR1	cui_knockout_hypertension	phen_knockout_hypertension
H2AFX	cui_knockout_hypertension	phen_knockout_hypertension
TGFB1	cui_knockout_hypertension	phen_knockout_hypertension
F12	cui_knockout_hypertension	phen_knockout_hypertension
TP53	cui_knockout_hypertension	phen_knockout_hypertension
RAC2	cui_knockout_hypertension	phen_knockout_hypertension
HLA-A	cui_knockout_hypertension	phen_knockout_hypertension
BECN1	cui_knockout_hypertension	phen_knockout_hypertension
DDC	cui_knockout_hypertension	phen_knockout_hypertension
CD36	cui_knockout_hypertension	phen_knockout_hypertension
TGFA	cui_knockout_hypertension	phen_knockout_hypertension
F2R	cui_knockout_hypertension	phen_knockout_hypertension
RAD51	cui_knockout_hypertension	phen_knockout_hypertension
PDIA3	cui_knockout_hypertension	phen_knockout_hypertension
HNRNPD	cui_knockout_hypertension	phen_knockout_hypertension
PKM	cui_knockout_hypertension	phen_knockout_hypertension
CTSC	cui_knockout_hypertension	phen_knockout_hypertension
STAT3	cui_knockout_hypertension	phen_knockout_hypertension
HDAC1	cui_knockout_hypertension	phen_knockout_hypertension
ENO1	cui_knockout_hypertension	phen_knockout_hypertension
KDM4A	cui_knockout_hypertension	phen_knockout_hypertension
FN1	cui_knockout_hypertension	phen_knockout_hypertension
CDKN1A	cui_knockout_hypertension	phen_knockout_hypertension
EPHB1	cui_knockout_hypertension	phen_knockout_hypertension
PTGER1	cui_knockout_hypertension	phen_knockout_hypertension
C4BPA	cui_knockout_hypertension	phen_knockout_hypertension
KLKB1	cui_knockout_hypertension	phen_knockout_hypertension
SERPINE1	cui_knockout_hypertension	phen_knockout_hypertension
TLR3	cui_knockout_hypertension	phen_knockout_hypertension
PDE4D	cui_knockout_hypertension	phen_knockout_hypertension
CYSLTR1	cui_knockout_hypertension	phen_knockout_hypertension
EP300	cui_knockout_hypertension	phen_knockout_hypertension
CCNE1	cui_knockout_hypertension	phen_knockout_hypertension
RPSA	cui_knockout_hypertension	phen_knockout_hypertension
GHSR	cui_knockout_hypertension	phen_knockout_hypertension
LYN	cui_knockout_hypertension	phen_knockout_hypertension
HSD11B1	cui_knockout_hypertension	phen_knockout_hypertension
NGF	cui_knockout_hypertension	phen_knockout_hypertension
APP	cui_noise_hypertension	phen_noise_hypertension
HTR2A	cui_noise_hypertension	phen_noise_hypertension
BDKRB1	cui_noise_hypertension	phen_noise_hypertension
EDNRB	cui_noise_hypertension	phen_noise_hypertension
PIK3CD	cui_noise_hypertension	phen_noise_hypertension
CXCL9	cui_noise_hypertension	phen_noise_hypertension
ADRB3	cui_noise_hypertension	phen_noise_hypertension
PIK3CA	cui_noise_hypertension	phen_noise_hypertension
PTPN11	cui_noise_hypertension	phen_noise_hypertension
CYP2C19	cui_noise_hypertension	phen_noise_hypertension
CALCRL	cui_noise_hypertension	phen_noise_hypertension
SPECC1L	cui_noise_hypertension	phen_noise_hypertension
RHOA	cui_noise_hypertension	phen_noise_hypertension
CXCR2	cui_noise_hypertension	phen_noise_hypertension
KRAS	cui_noise_hypertension	phen_noise_hypertension
ATP7A	cui_noise_hypertension	phen_noise_hypertension
TAC1	cui_noise_hypertension	phen_noise_hypertension
BDKRB2	cui_noise_hypertension	phen_noise_hypertension
SLC6A4	cui_noise_hypertension	phen_noise_hypertension
ABCC4	cui_noise_hypertension	phen_noise_hypertension
EGFR	cui_noise_hypertension	phen_noise_hypertension
ADRA2A	cui_noise_hypertension	phen_noise_hypertension
FGF2	cui_noise_hypertension	phen_noise_hypertension
GLP1R	cui_noise_hypertension	phen_noise_hypertension
PTGS1	cui_noise_hypertension	phen_noise_hypertension
GNAI2	cui_noise_hypertension	phen_noise_hypertension
NR3C2	cui_noise_hypertension	phen_noise_hypertension
IL1B	cui_noise_hypertension	phen_noise_hypertension
CXCL12	cui_noise_hypertension	phen_noise_hypertension
CYP3A4	cui_noise_hypertension	phen_noise_hypertension
RET	cui_noise_hypertension	phen_noise_hypertension
LPAR2	cui_noise_hypertension	phen_noise_hypertension
PDGFRB	cui_noise_hypertension	phen_noise_hypertension
LDLRAP1	cui_noise_hypertension	phen_noise_hypertension
GPER1	cui_noise_hypertension	phen_noise_hypertension
PTK2B	cui_noise_hypertension	phen_noise_hypertension
CASR	cui_noise_hypertension	phen_noise_hypertension
REN	cui_noise_hypertension	phen_noise_hypertension
RHOC	cui_tp_pancreatitis	phen_tp_pancreatitis
HLA-DQB1	cui_tp_pancreatitis	phen_tp_pancreatitis
XIAP	cui_tp_pancreatitis	phen_tp_pancreatitis
FLT3	cui_tp_pancreatitis	phen_tp_pancreatitis
APAF1	cui_tp_pancreatitis	phen_tp_pancreatitis
NR1I2	cui_tp_pancreatitis	phen_tp_pancreatitis
ALOX5	cui_tp_pancreatitis	phen_tp_pancreatitis
MME	cui_tp_pancreatitis	phen_tp_pancreatitis
HLA-DQA2	cui_tp_pancreatitis	phen_tp_pancreatitis
MED1	cui_tp_pancreatitis	phen_tp_pancreatitis
CD274	cui_tp_pancreatitis	phen_tp_pancreatitis
ATR	cui_tp_pancreatitis	phen_tp_pancreatitis
JUN	cui_tp_pancreatitis	phen_tp_pancreatitis
PDPK1	cui_tp_pancreatitis	phen_tp_pancreatitis
CASP1	cui_tp_pancreatitis	phen_tp_pancreatitis
PLAUR	cui_tp_pancreatitis	phen_tp_pancreatitis
PIAS4	cui_tp_pancreatitis	phen_tp_pancreatitis
CASP9	cui_tp_pancreatitis	phen_tp_pancreatitis
TOPBP1	cui_tp_pancreatitis	phen_tp_pancreatitis
RBP1	cui_tp_pancreatitis	phen_tp_pancreatitis
XRCC3	cui_tp_pancreatitis	phen_tp_pancreatitis
CASP3	cui_tp_pancreatitis	phen_tp_pancreatitis
ARHGEF7	cui_tp_pancreatitis	phen_tp_pancreatitis
RAD17	cui_tp_pancreatitis	phen_tp_pancreatitis
RXRA	cui_tp_pancreatitis	phen_tp_pancreatitis
RAD51	cui_tp_pancreatitis	phen_tp_pancreatitis
PTGER4	cui_tp_pancreatitis	phen_tp_pancreatitis
XRCC6	cui_tp_pancreatitis	phen_tp_pancreatitis
VAV1	cui_tp_pancreatitis	phen_tp_pancreatitis
PRKDC	cui_tp_pancreatitis	phen_tp_pancreatitis
CHEK2	cui_tp_pancreatitis	phen_tp_pancreatitis
CCL2	cui_tp_pancreatitis	phen_tp_pancreatitis
RHOB	cui_tp_pancreatitis	phen_tp_pancreatitis
BRCA2	cui_tp_pancreatitis	phen_tp_pancreatitis
LTA4H	cui_tp_pancreatitis	phen_tp_pancreatitis
AKT1	cui_tp_pancreatitis	phen_tp_pancreatitis
MMP2	cui_tp_pancreatitis	phen_tp_pancreatitis
MAPK14	cui_tp_pancreatitis	phen_tp_pancreatitis
MTOR	cui_tp_pancreatitis	phen_tp_pancreatitis
CHEK1	cui_tp_pancreatitis	phen_tp_pancreatitis
HLA-DQA1	cui_tp_pancreatitis	phen_tp_pancreatitis
ITK	cui_tp_pancreatitis	phen_tp_pancreatitis
RBBP8	cui_tp_pancreatitis	phen_tp_pancreatitis
XRCC3	cui_knockout_pancreatitis	phen_knockout_pancreatitis
TOPBP1	cui_knockout_pancreatitis	phen_knockout_pancreatitis
PDPK1	cui_knockout_pancreatitis	phen_knockout_pancreatitis
CASP3	cui_knockout_pancreatitis	phen_knockout_pancreatitis
HLA-DQB1	cui_knockout_pancreatitis	phen_knockout_pancreatitis
CD274	cui_knockout_pancreatitis	phen_knockout_pancreatitis
PLAUR	cui_knockout_pancreatitis	phen_knockout_pancreatitis
CASP9	cui_knockout_pancreatitis	phen_knockout_pancreatitis
AKT1	cui_knockout_pancreatitis	phen_knockout_pancreatitis
HLA-DQA1	cui_knockout_pancreatitis	phen_knockout_pancreatitis
RHOB	cui_knockout_pancreatitis	phen_knockout_pancreatitis
MMP2	cui_knockout_pancreatitis	phen_knockout_pancreatitis
MAPK14	cui_knockout_pancreatitis	phen_knockout_pancreatitis
ARHGEF7	cui_knockout_pancreatitis	phen_knockout_pancreatitis
MED1	cui_knockout_pancreatitis	phen_knockout_pancreatitis
CCL2	cui_knockout_pancreatitis	phen_knockout_pancreatitis
XIAP	cui_knockout_pancreatitis	phen_knockout_pancreatitis
RXRA	cui_knockout_pancreatitis	phen_knockout_pancreatitis
XRCC6	cui_knockout_pancreatitis	phen_knockout_pancreatitis
NR1I2	cui_knockout_pancreatitis	phen_knockout_pancreatitis
BRCA2	cui_knockout_pancreatitis	phen_knockout_pancreatitis
CHEK1	cui_knockout_pancreatitis	phen_knockout_pancreatitis
PRKDC	cui_knockout_pancreatitis	phen_knockout_pancreatitis
ATR	cui_knockout_pancreatitis	phen_knockout_pancreatitis
RHOC	cui_knockout_pancreatitis	phen_knockout_pancreatitis
JUN	cui_knockout_pancreatitis	phen_knockout_pancreatitis
CHEK2	cui_knockout_pancreatitis	phen_knockout_pancreatitis
PIAS4	cui_knockout_pancreatitis	phen_knockout_pancreatitis
RBBP8	cui_knockout_pancreatitis	phen_knockout_pancreatitis
ALOX5	cui_knockout_pancreatitis	phen_knockout_pancreatitis
MME	cui_knockout_pancreatitis	phen_knockout_pancreatitis
LTA4H	cui_knockout_pancreatitis	phen_knockout_pancreatitis
PTGER4	cui_knockout_pancreatitis	phen_knockout_pancreatitis
ITK	cui_knockout_pancreatitis	phen_knockout_pancreatitis
HLA-DQA2	cui_knockout_pancreatitis	phen_knockout_pancreatitis
MTOR	cui_knockout_pancreatitis	phen_knockout_pancreatitis
CASP1	cui_knockout_pancreatitis	phen_knockout_pancreatitis
BIRC2	cui_noise_pancreatitis	phen_noise_pancreatitis
GSTP1	cui_noise_pancreatitis	phen_noise_pancreatitis
TIAM1	cui_noise_pancreatitis	phen_noise_pancreatitis
REN	cui_noise_pancreatitis	phen_noise_pancreatitis
CYP2C19	cui_noise_pancreatitis	phen_noise_pancreatitis
ARPC1A	cui_noise_pancreatitis	phen_noise_pancreatitis
IGF2R	cui_noise_pancreatitis	phen_noise_pancreatitis
NCOA3	cui_noise_pancreatitis	phen_noise_pancreatitis
CD4	cui_noise_pancreatitis	phen_noise_pancreatitis
IRS2	cui_noise_pancreatitis	phen_noise_pancreatitis
SST	cui_noise_pancreatitis	phen_noise_pancreatitis
NFKBIA	cui_noise_pancreatitis	phen_noise_pancreatitis
CD80	cui_noise_pancreatitis	phen_noise_pancreatitis
PDGFRB	cui_noise_pancreatitis	phen_noise_pancreatitis
FGF2	cui_noise_pancreatitis	phen_noise_pancreatitis
RBM5	cui_noise_pancreatitis	phen_noise_pancreatitis
CTTN	cui_noise_pancreatitis	phen_noise_pancreatitis
ACKR3	cui_noise_pancreatitis	phen_noise_pancreatitis
PIK3CB	cui_noise_pancreatitis	phen_noise_pancreatitis
PTHLH	cui_noise_pancreatitis	phen_noise_pancreatitis
JAK1	cui_noise_pancreatitis	phen_noise_pancreatitis
KITLG	cui_noise_pancreatitis	phen_noise_pancreatitis
SLC22A3	cui_noise_pancreatitis	phen_noise_pancreatitis
PTGS1	cui_noise_pancreatitis	phen_noise_pancreatitis
MAPK3	cui_noise_pancreatitis	phen_noise_pancreatitis
ATM	cui_noise_pancreatitis	phen_noise_pancreatitis
CCR2	cui_noise_pancreatitis	phen_noise_pancreatitis
SOD1	cui_noise_pancreatitis	phen_noise_pancreatitis
TRAF2	cui_noise_pancreatitis	phen_noise_pancreatitis
MAP2K1	cui_noise_pancreatitis	phen_noise_pancreatitis
USP39	cui_noise_pancreatitis	phen_noise_pancreatitis
HNRNPU	cui_noise_pancreatitis	phen_noise_pancreatitis
CLTC	cui_noise_pancreatitis	phen_noise_pancreatitis
ARTN	cui_noise_pancreatitis	phen_noise_pancreatitis
EDN1	cui_noise_pancreatitis	phen_noise_pancreatitis
LPAR1	cui_noise_pancreatitis	phen_noise_pancreatitis
SRRM2	cui_noise_pancreatitis	phen_noise_pancreatitis
HNRNPK	cui_noise_pancreatitis	phen_noise_pancreatitis
GRP	cui_noise_pancreatitis	phen_noise_pancreatitis
FGA	cui_noise_pancreatitis	phen_noise_pancreatitis
AMY2A	cui_noise_pancreatitis	phen_noise_pancreatitis
MAP3K7	cui_noise_pancreatitis	phen_noise_pancreatitis
KRAS	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
BRIP1	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
VEGFA	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
FCGR1A	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
ITGA2B	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
IL6	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
NR1I2	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
EFNA5	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
SRSF2	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
XDH	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
ABL1	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
SF3B1	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
ATP7A	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
ATP7B	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
SLC22A1	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
RAD51	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
HLA-DRB3	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
UGT1A1	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
IL2	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
CHEK2	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
FCGR3A	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
BCR	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
HLA-DPA1	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
BRCA2	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
TPMT	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
HLCS	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
NTRK1	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
B2M	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
MTOR	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
DCLRE1C	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
ITK	cui_tp_thrombocytopenia	phen_tp_thrombocytopenia
VEGFA	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
IL2	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
BRIP1	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
XDH	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
SF3B1	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
IL6	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
MTOR	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
ITK	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
NTRK1	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
HLA-DRB3	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
ATP7B	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
FCGR3A	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
ATP7A	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
UGT1A1	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
KRAS	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
DCLRE1C	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
NR1I2	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
TPMT	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
BCR	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
ABL1	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
B2M	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
SRSF2	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
SLC22A1	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
EFNA5	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
BRCA2	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
CHEK2	cui_knockout_thrombocytopenia	phen_knockout_thrombocytopenia
PON1	cui_noise_thrombocytopenia	phen_noise_thrombocytopenia
CXCL10	cui_noise_thrombocytopenia	phen_noise_thrombocytopenia
CCL5	cui_noise_thrombocytopenia	phen_noise_thrombocytopenia
IRS2	cui_noise_thrombocytopenia	phen_noise_thrombocytopenia
CXCL1	cui_noise_thrombocytopenia	phen_noise_thrombocytopenia
IGHG3	cui_noise_thrombocytopenia	phen_noise_thrombocytopenia
PF4	cui_noise_thrombocytopenia	phen_noise_thrombocytopenia
SRC	cui_noise_thrombocytopenia	phen_noise_thrombocytopenia
NBN	cui_noise_thrombocytopenia	phen_noise_thrombocytopenia
LTA4H	cui_tp_myocardial infarction	phen_tp_myocardial infarction
CCL2	cui_tp_myocardial infarction	phen_tp_myocardial infarction
THBD	cui_tp_myocardial infarction	phen_tp_myocardial infarction
MMP2	cui_tp_myocardial infarction	phen_tp_myocardial infarction
NOS2	cui_tp_myocardial infarction	phen_tp_myocardial infarction
SULT1A1	cui_tp_myocardial infarction	phen_tp_myocardial infarction
GSTT1	cui_tp_myocardial infarction	phen_tp_myocardial infarction
PLA2G2A	cui_tp_myocardial infarction	phen_tp_myocardial infarction
NTRK2	cui_tp_myocardial infarction	phen_tp_myocardial infarction
NOS3	cui_tp_myocardial infarction	phen_tp_myocardial infarction
MAPK14	cui_tp_myocardial infarction	phen_tp_myocardial infarction
NFKBIA	cui_tp_myocardial infarction	phen_tp_myocardial infarction
CREB1	cui_tp_myocardial infarction	phen_tp_myocardial infarction
NR1I2	cui_tp_myocardial infarction	phen_tp_myocardial infarction
LRP1	cui_tp_myocardial infarction	phen_tp_myocardial infarction
MTHFR	cui_tp_myocardial infarction	phen_tp_myocardial infarction
CD36	cui_tp_myocardial infarction	phen_tp_myocardial infarction
TLR4	cui_tp_myocardial infarction	phen_tp_myocardial infarction
NGF	cui_tp_myocardial infarction	phen_tp_myocardial infarction
BCL2	cui_tp_myocardial infarction	phen_tp_myocardial infarction
CCL2	cui_knockout_myocardial infarction	phen_knockout_myocardial infarction
TLR4	cui_knockout_myocardial infarction	phen_knockout_myocardial infarction
THBD	cui_knockout_myocardial infarction	phen_knockout_myocardial infarction
SULT1A1	cui_knockout_myocardial infarction	phen_knockout_myocardial infarction
NFKBIA	cui_knockout_myocardial infarction	phen_knockout_myocardial infarction
LTA4H	cui_knockout_myocardial infarction	phen_knockout_myocardial infarction
