name_0	drugbank_id_0	To	From	uniprot_id	name	drugbank_id
aripiprazole	DB01238	HTR3A	P46098	P46098	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HTR7	P34969	P34969	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HTR1B	P28222	P28222	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	OPRK1	P41145	P41145	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	ALB	P02768	P02768	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HTR1D	P28221	P28221	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	DRD5	P21918	P21918	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	CHRM4	P08173	P08173	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	CYP2D6	P10635	P10635	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HRH1	P35367	P35367	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	DRD1	P21728	P21728	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HTR5A	P47898	P47898	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HRH3	Q9Y5N1	Q9Y5N1	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HTR2A	P28223	P28223	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	DRD2	P14416	P14416	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	DRD4	P21917	P21917	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HTR2B	P41595	P41595	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	ADRA2A	P08913	P08913	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HTR2C	P28335	P28335	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	CHRM5	P08912	P08912	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	SLC6A4	P31645	P31645	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HRH4	Q9H3N8	Q9H3N8	aripiprazole_New_DrugBank	DB01238_DrugBank
zonisamide	DB00909	CA5B	Q9Y2D0	Q9Y2D0	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA11	O75493	O75493	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	ABCB1	P08183	P08183	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN1A	P35498	P35498	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CYP3A5	P20815	P20815	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN2A	Q99250	Q99250	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN4B	Q8IWT1	Q8IWT1	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN3A	Q9NY46	Q9NY46	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA14	Q9ULX7	Q9ULX7	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CYP3A4	P08684	P08684	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	UGT1A1	P22309	P22309	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	AOX1	Q06278	Q06278	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	MAOA	P21397	P21397	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CACNA1G	O43497	O43497	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA9	Q16790	Q16790	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA13	Q8N1Q1	Q8N1Q1	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN2B	O60939	O60939	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA7	P43166	P43166	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	MAOB	P27338	P27338	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN1B	Q07699	Q07699	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA5A	P35218	P35218	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CACNA1I	Q9P0X4	Q9P0X4	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN4A	P35499	P35499	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CYP2C19	P33261	P33261	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA8	P35219	P35219	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN11A	Q9UI33	Q9UI33	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA1	P00915	P00915	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN9A	Q15858	Q15858	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA6	P23280	P23280	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA10	Q9NS85	Q9NS85	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA3	P07451	P07451	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN5A	Q14524	Q14524	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA2	P00918	P00918	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA12	O43570	O43570	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	SCN3B	Q9NY72	Q9NY72	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CACNA1H	O95180	O95180	zonisamide_New_DrugBank	DB00909_DrugBank
zonisamide	DB00909	CA4	P22748	P22748	zonisamide_New_DrugBank	DB00909_DrugBank
clozapine	DB00363	HTR1E	P28566	P28566	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CYP2C8	P10632	P10632	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CHRM2	P08172	P08172	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CHRM3	P20309	P20309	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	HTR1A	P08908	P08908	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	ABCB1	P08183	P08183	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	ADRA1A	P35348	P35348	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CYP2A6	P11509	P11509	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	HTR6	P50406	P50406	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	ADRA1B	P35368	P35368	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CYP3A4	P08684	P08684	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	DRD3	P35462	P35462	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	ADRA2B	P18089	P18089	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CHRM1	P11229	P11229	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	ADRA2C	P18825	P18825	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	HTR3A	P46098	P46098	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	HTR7	P34969	P34969	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CYP2C9	P11712	P11712	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	HTR1B	P28222	P28222	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	HTR1D	P28221	P28221	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CHRM4	P08173	P08173	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CYP2D6	P10635	P10635	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	HRH1	P35367	P35367	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CYP2C19	P33261	P33261	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	DRD1	P21728	P21728	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CYP1A2	P05177	P05177	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	HTR2A	P28223	P28223	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CYP1A1	P04798	P04798	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CALY	Q9NYX4	Q9NYX4	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	DRD2	P14416	P14416	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	DRD4	P21917	P21917	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	ADRA2A	P08913	P08913	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	HTR2C	P28335	P28335	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	GSTP1	P09211	P09211	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	CHRM5	P08912	P08912	clozapine_New_DrugBank	DB00363_DrugBank
clozapine	DB00363	HRH4	Q9H3N8	Q9H3N8	clozapine_New_DrugBank	DB00363_DrugBank
amitriptyline	DB00321	CYP2C8	P10632	P10632	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	NTRK1	P04629	P04629	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	HTR1A	P08908	P08908	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	ABCB1	P08183	P08183	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	ADRA1A	P35348	P35348	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	KCNQ2	O43526	O43526	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	CYP3A5	P20815	P20815	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	OPRM1	P35372	P35372	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	HTR6	P50406	P50406	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	ADRA1B	P35368	P35368	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	KCNA1	Q09470	Q09470	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	CYP3A4	P08684	P08684	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	HRH2	P25021	P25021	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	OPRD1	P41143	P41143	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	HTR7	P34969	P34969	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	CYP2C9	P11712	P11712	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	HTR1B	P28222	P28222	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	OPRK1	P41145	P41145	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	ALB	P02768	P02768	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	ADRA1D	P25100	P25100	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	CYP2B6	P20813	P20813	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	HTR1D	P28221	P28221	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	NTRK2	Q16620	Q16620	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	CYP2D6	P10635	P10635	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	HRH1	P35367	P35367	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	ORM1	P02763	P02763	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	CYP2C19	P33261	P33261	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	KCNQ3	O43525	O43525	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	CYP1A2	P05177	P05177	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	HTR2A	P28223	P28223	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	SIGMAR1	Q99720	Q99720	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	ADRA2A	P08913	P08913	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	HTR2C	P28335	P28335	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	SLC6A2	P23975	P23975	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	SLC6A4	P31645	P31645	amitriptyline_New_DrugBank	DB00321_DrugBank
amitriptyline	DB00321	HRH4	Q9H3N8	Q9H3N8	amitriptyline_New_DrugBank	DB00321_DrugBank
imipramine	DB00458	CHRM2	P08172	P08172	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CHRM3	P20309	P20309	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	HTR1A	P08908	P08908	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	ABCB1	P08183	P08183	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	ADRA1A	P35348	P35348	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	SLC22A4	Q9H015	Q9H015	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CYP3A7	P24462	P24462	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	HTR6	P50406	P50406	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	ADRA1B	P35368	P35368	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CYP3A4	P08684	P08684	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CHRM1	P11229	P11229	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	SLC6A3	Q01959	Q01959	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	HTR7	P34969	P34969	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	ALB	P02768	P02768	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	ADRA1D	P25100	P25100	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CYP2B6	P20813	P20813	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	KCND3	Q9UK17	Q9UK17	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CHRM4	P08173	P08173	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CYP2D6	P10635	P10635	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	HRH1	P35367	P35367	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	ORM1	P02763	P02763	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CYP2C19	P33261	P33261	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CYP2E1	P05181	P05181	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CYP1A2	P05177	P05177	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	HTR2A	P28223	P28223	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	KCND2	Q9NZV8	Q9NZV8	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	KCNH1	O95259	O95259	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	DRD2	P14416	P14416	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	ORM2	P19652	P19652	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	HTR2C	P28335	P28335	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	SLC6A2	P23975	P23975	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CHRM5	P08912	P08912	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	SLC6A4	P31645	P31645	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	CYP2C18	P33260	P33260	imipramine_New_DrugBank	DB00458_DrugBank
imipramine	DB00458	KCNH2	Q12809	Q12809	imipramine_New_DrugBank	DB00458_DrugBank
tamoxifen	DB00675	ESRRG	P62508	P62508	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP2C8	P10632	P10632	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	ABCB1	P08183	P08183	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP2A6	P11509	P11509	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	SERPINA7	P05543	P05543	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP3A5	P20815	P20815	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP3A7	P24462	P24462	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	ESR1	P03372	P03372	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	MAPK8	P45983	P45983	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	ABCG2	Q9UNQ0	Q9UNQ0	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP3A4	P08684	P08684	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	SHBG	P04278	P04278	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	NR1I2	O75469	O75469	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP2C9	P11712	P11712	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	ALB	P02768	P02768	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	ABCC2	Q92887	Q92887	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP2B6	P20813	P20813	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP2D6	P10635	P10635	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP2C19	P33261	P33261	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CES1	P23141	P23141	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	ABCA1	O95477	O95477	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP2E1	P05181	P05181	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP1A2	P05177	P05177	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	ABCB11	O95342	O95342	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP1A1	P04798	P04798	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	EBP	Q15125	Q15125	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP19A1	P11511	P11511	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	AR	P10275	P10275	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	SULT1E1	P49888	P49888	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	CYP1B1	Q16678	Q16678	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	SULT2A1	Q06520	Q06520	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	ESR2	Q92731	Q92731	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	SULT1A1	P50225	P50225	tamoxifen_New_DrugBank	DB00675_DrugBank
tamoxifen	DB00675	KCNH2	Q12809	Q12809	tamoxifen_New_DrugBank	DB00675_DrugBank
cholic acid	DB02659	SLCO1B3	Q9NPD5	Q9NPD5	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	ESRRG	P62508	P62508	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	SLCO1B1	Q9Y6L6	Q9Y6L6	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	MT-CO3	P00414	P00414	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	ABCB1	P08183	P08183	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	COX4I1	P13073	P13073	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	COX6A2	Q02221	Q02221	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	NR1H4	Q96RI1	Q96RI1	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	FABP6	P51161	P51161	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	COX7A1	P24310	P24310	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	GPBAR1	Q8TDU6	Q8TDU6	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	COX5A	P20674	P20674	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	COX5B	P10606	P10606	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	MT-CO1	P00395	P00395	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	COX7C	P15954	P15954	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	ABCC2	Q92887	Q92887	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	ABCC1	P33527	P33527	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	COX6B1	P14854	P14854	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	ADH1C	P00326	P00326	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	SLC10A2	Q12908	Q12908	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	CES1	P23141	P23141	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	ABCC4	O15439	O15439	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	COX8A	P10176	P10176	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	COX7B	P24311	P24311	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	MT-CO2	P00403	P00403	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	SLC22A8	Q8TCC7	Q8TCC7	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	PLA2G1B	P04054	P04054	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	SLC10A1	Q14973	Q14973	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	COX6C	P09669	P09669	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	FECH	P22830	P22830	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	DKFZp686P18130	Q7KZA3	Q7KZA3	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	ABCB11	O95342	O95342	cholic acid_New_DrugBank	DB02659_DrugBank
cholic acid	DB02659	SLC22A7	Q9Y694	Q9Y694	cholic acid_New_DrugBank	DB02659_DrugBank
loxapine	DB00408	HTR1E	P28566	P28566	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	CHRM2	P08172	P08172	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	CHRM3	P20309	P20309	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	HTR1A	P08908	P08908	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	ADRA1A	P35348	P35348	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	HTR6	P50406	P50406	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	ADRA1B	P35368	P35368	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	DRD3	P35462	P35462	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	ADRA2B	P18089	P18089	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	HRH2	P25021	P25021	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	CHRM1	P11229	P11229	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	ADRB1	P08588	P08588	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	SLC6A3	Q01959	Q01959	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	ADRA2C	P18825	P18825	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	HTR3A	P46098	P46098	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	HTR7	P34969	P34969	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	HTR1B	P28222	P28222	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	HTR1D	P28221	P28221	loxapine_New_DrugBank	DB00408_DrugBank
loxapine	DB00408	DRD5	P21918	P21918	loxapine_New_DrugBank	DB00408_DrugBank
