Drug,Targets
betamethasone,"['ALB', 'G6PC1', 'CYP2C8', 'HPGD', 'CYP19A1', 'SHH', 'AQP4', 'HSD17B4', 'ACHE', 'DRD1', 'VEGFA', 'NFE2L2', 'BMP4', 'FSHB', 'PTGER4', 'NR3C2', 'CXCL8', 'CCL2', 'CYP3A5', 'SERPINA6', 'HMOX2', 'PRL', 'DYNLT3', 'HSD11B2', 'RCAN1', 'CYP2C19', 'ANXA1', 'CCL3', 'EGR1', 'ABCB1', 'FXN', 'MME', 'EPX', 'AGTR2', 'LHB', 'CCL4', 'ACE', 'SLC9A3', 'PTGS2', 'CYP2A6', 'IGF2', 'NR3C1', 'CYP2B6', 'AR', 'CYP3A4', 'CYP2C9', 'ACE2', 'CYP3A7-CYP3A51P']"
fentanyl,"['KCNH2', 'ALB', 'PLD2', 'ATF2', 'POMC', 'FCGR3B', 'NFKBIA', 'MAPK3', 'FCGR3A', 'CYP3A7-CYP3A51P', 'REN', 'CXCL8', 'CALCA', 'ADRB2', 'ORM1', 'PER1', 'OPRK1', 'CYP3A5', 'UGT2B7', 'COMT', 'MPO', 'KCNJ6', 'CACNA1E', 'MYD88', 'OPRD1', 'ABCB1', 'FOS', 'XDH', 'Oprm1', 'CYP2D6', 'GAST', 'PGAP6', 'ORM2', 'OPRM1', 'MAPK1', 'P2RX7', 'ITGAM', 'PDYN', 'RHBDF2', 'CYP2B6', 'IL2', 'AR', 'CYP3A4', 'ARRB2', 'CRH', 'IL4', 'IL6']"
diazoxide,"['IAPP', 'KCNJ11', 'IL10', 'AKT1', 'CTNNB1', 'EHMT2', 'KCNJ8', 'ABCC9', 'HMOX1', 'CALCA', 'SNAP25', 'NFKB1', 'GLUL', 'CCND1', 'Kcnj8', 'FLT1', 'LEP', 'INS', 'GPD2', 'CA1', 'SLC12A3', 'Ins1', 'PDX1', 'CASP3', 'CYP2D6', 'KCNMA1', 'CYP1A2', 'Kcnj11', 'NAMPT', 'NOS2', 'NT5E', 'CYP7B1', 'BCL2', 'SLC2A2', 'LPL', 'CA2', 'ABCC8', 'CYCS', 'TP53', 'AIFM1', 'GCG', 'ATP1A1', 'BCL2L1', 'CCK', 'BAX', 'TNF', 'IL6']"
bosutinib,"['LCK', 'CCND3', 'ERBB2', 'CYP2C8', 'MAP3K2', 'GPT', 'HCK', 'AKT1', 'CTNNB1', 'SIK3', 'SIK2', 'CAMK1D', 'CHEK2', 'EGFR', 'CSK', 'PARP1', 'MAP2K2', 'TNK2', 'CCND1', 'TXK', 'CDH1', 'MAP4K5', 'SLC16A2', 'FGR', 'MAPK8', 'CDC25A', 'STK24', 'MAP2K1', 'FRK', 'ABCB1', 'PIM2', 'SIK1', 'CDKN1A', 'FYN', 'STK10', 'CDK2', 'CAMK2G', 'BCR', 'STK4', 'LYN', 'TCF4', 'TBK1', 'CYP3A4', 'TP53', 'CDKN1B', 'ABL1', 'SRC']"
raloxifene,"['UGT1A1', 'ALB', 'ABCC2', 'PIK3CA', 'CYP2C8', 'IL6R', 'CYP19A1', 'ESR2', 'ABCC4', 'GHRL', 'TSHB', 'THPO', 'IL1B', 'SLCO1B1', 'IGF1R', 'ORM1', 'VDR', 'PLAT', 'UGT1A10', 'TERT', 'ESR1', 'PLD1', 'CYP2C19', 'PIK3CG', 'IL6ST', 'GNRH1', 'ABCG2', 'TFF1', 'ABCB1', 'CYP2D6', 'ALDH1A1', 'CYP1A2', 'AOX1', 'ABCC3', 'ZNF423', 'PTGS2', 'HSD17B10', 'UGT1A8', 'CYP2B6', 'SERPINB9', 'CYP3A4', 'TP53', 'CBX1', 'ATXN2', 'MAPT', 'SLCO1B3', 'GPER1']"
vinorelbine,"['BRCA2', 'ERBB2', 'TUBB2B', 'IL10', 'TUBB', 'TUB', 'TUBB4A', 'TUBB3', 'TUBA3C', 'TUBA4A', 'TUBA3E', 'TUBB4B', 'LHX4', 'NR1H4', 'NPM1', 'TUBB6', 'FAS', 'TUBA1C', 'XRCC1', 'EPCAM', 'PROC', 'RBM17', 'CD40LG', 'CASP7', 'TUBA3D', 'TGFB1', 'RRM1', 'TUBA1A', 'Fasl', 'TUBA1B', 'CASP3', 'APC', 'KRT18', 'TUBB1', 'SLC29A1', 'PTGS2', 'PAK5', 'IL7', 'TUBB8', 'CDKN2A', 'TUBB2A', 'TRAF1', 'SMARCA4', 'Naip1', 'BAX', 'BRCA1', 'TNF']"
pregabalin,"['CACNB4', 'ACE2', 'CACNG6', 'CACNA1H', 'CACNA1I', 'TH', 'CACNA2D4', 'CACNG7', 'SLC7A5', 'CACNA1A', 'CACNA1D', 'TAC1', 'CACNB2', 'CACNG3', 'CACNG1', 'TGFB1', 'PRKACA', 'CACNA1E', 'AGTR1', 'CACNA2D1', 'FOS', 'MAS1', 'CACNG5', 'CASP3', 'CACNG4', 'SLC1A1', 'CACNA1C', 'ACE', 'CNR1', 'ADRA2A', 'CACNA1G', 'CACNB1', 'CACNA1S', 'NPPB', 'P2RX3', 'CACNG2', 'DRD2', 'STX1A', 'CACNA1F', 'CACNB3', 'CACNG8', 'CACNA1B', 'CACNA2D2', 'TNF', 'CACNA2D3', 'AGT']"
bumetanide,"['CA5A', 'SLC17A3', 'ADD1', 'SLC12A2', 'CA7', 'GPR35', 'ABCC4', 'HLA-G', 'CA4', 'NFE2L2', 'CA9', 'SLC12A6', 'REN', 'SLC22A7', 'CA5B', 'SLC22A11', 'SLC12A7', 'SLC12A5', 'CA3', 'Ins1', 'SLC12A1', 'CA1', 'SLC22A8', 'SLC12A3', 'CFTR', 'KDM4E', 'SLCO1A2', 'SCNN1A', 'NPPA-AS1', 'SLC10A1', 'SLC22A6', 'SLC12A4', 'ACE', 'CA14', 'HSD17B10', 'PTGS2', 'MAPK1', 'CA6', 'SLC19A1', 'F2RL1', 'CA2', 'Car13', 'CA12', 'Slc22a19', 'PTGS1', 'GNB3']"
ixazomib,"['PSMC6', 'PSMB9', 'CYP2C8', 'PSMA1', 'PSMB2', 'PSMD7', 'PSMB1', 'PSMD14', 'PSMA8', 'PSMC3', 'PSMB6', 'PSMC1', 'NPM1', 'PSMC2', 'PSMA4', 'ADRM1', 'PSMD8', 'PSMA5', 'PSMD2', 'PSMB10', 'PSMB8', 'PSMB5', 'PSMD12', 'SEM1', 'CYP2D6', 'PSMD11', 'PSMD4', 'PSMA2', 'PSMC4', 'CYP1A2', 'PSMB11', 'PSMA3', 'PSMD13', 'PSMB7', 'PSMB4', 'PSMD1', 'CYP2B6', 'PSMA7', 'PSMA6', 'PSMD3', 'CYP3A4', 'CYP2C9', 'PSMC5', 'PSMD6', 'PSMB3', 'CYP2C19']"
exemestane,"['ERBB2', 'CYP1B1', 'MKI67', 'CYP19A1', 'ESR2', 'INPP5K', 'DNAAF9', 'PGR', 'MAP4K4', 'METRN', 'NFE2L2', 'DAB2', 'XIST', 'TP53TG1', 'ADCYAP1R1', 'SMIM43', 'TBC1D17', 'TRIOBP', 'AKR1C3', 'ESR1', 'KLK7', 'SNHG20', 'ABCG4', 'KMT2C', 'TFF1', 'INTS4', 'EBF1', 'KIF13B', 'AKR1C4', 'SLC22A2', 'TUBB1', 'HOXD11', 'PLCG2', 'RNF123', 'RRP12', 'CD83', 'SLC13A4', 'TNFRSF14', 'AREG', 'GPC2', 'AR', 'CYP3A4', 'MYBL2', 'BGLAP', 'MYO9B', 'OSTM1']"
pirfenidone,"['ALB', 'HDAC9', 'COL1A1', 'OGG1', 'MAPK14', 'GPT', 'SERPINE1', 'CCN2', 'EGFR', 'HMOX1', 'GPX1', 'COL4A1', 'HIF1A', 'CDH1', 'TGFB1', 'ESR1', 'NR1H3', 'MAPK13', 'CYP2C19', 'MAPK8', 'BIRC5', 'AGTR1', 'ABCB1', 'CYP2D6', 'FN1', 'TIMP1', 'CYP1A2', 'ACE', 'HSD17B10', 'NOS2', 'CYP2E1', 'SMAD7', 'MAPK11', 'NOX4', 'CAT', 'CDH2', 'NOX1', 'MAPK12', 'JUN', 'CYP3A4', 'ACTA2', 'CYP2C9', 'MMP2', 'TNF', 'ACE2', 'PTPN3']"
desflurane,"['GABRG2', 'ALB', 'ATP5F1D', 'GABRA3', 'ATP2A1', 'GABRG1', 'ATP2C2', 'AVP', 'KCNK18', 'REN', 'HTT', 'ATP2C1', 'GABRP', 'GABRB1', 'SELE', 'RYR1', 'GABRB2', 'GABRD', 'ATP2B1', 'GABRA2', 'VCAM1', 'GABRE', 'GRIA1', 'ATP2B3', 'GABRQ', 'KCNK9', 'GABRA5', 'KCNA1', 'KCNK10', 'ND1', 'GABRG3', 'ICAM1', 'CACNA1S', 'CYP2E1', 'ATP2A2', 'ATP2B2', 'KCNK2', 'GLRB', 'GLRA1', 'KCNK3', 'GABRA1', 'GABRA4', 'GABRA6', 'TNF', 'ATP2B4', 'GABRB3']"
dexmedetomidine,"['DPYSL2', 'DUSP1', 'CDK5R1', 'GPT', 'IL18', 'ADRA2B', 'NISCH', 'NFE2L2', 'IL1B', 'HMOX1', 'GSDMD', 'CASP9', 'CCL2', 'CASP7', 'SOD1', 'NLRP3', 'HSPD1', 'PRKCB', 'CYP2C19', 'MIR330', 'LDHA', 'CYP2D6', 'CASP3', 'CASP8', 'ULK1', 'MAP1LC3B', 'RELA', 'CYP1A2', 'ADRA2C', 'CYP1A1', 'ADRA2A', 'MAPK1', 'BCL2', 'CYP2E1', 'MIR381', 'NQO1', 'CASP1', 'CYP3A4', 'TP53', 'CYP2C9', 'BCL2L1', 'MIR34A', 'BAX', 'GSK3B', 'TNF', 'IL6']"
methylphenidate,"['SLC6A4', 'ADGRL3', 'DRD3', 'GET1', 'ZNF211', 'FARP2', 'CHURC1', 'GGH', 'TH', 'DRD1', 'ZNF134', 'TRIB3', 'PIGM', 'HTT', 'PDIA2', 'PURA', 'ESYT2', 'PRL', 'ARHGAP12', 'CMTM8', 'COMT', 'ZDHHC7', 'RRP7A', 'FXR2', 'ZNF565', 'OPCML', 'HTR1A', 'ABCB1', 'CYP2D6', 'SPSB2', 'NAT1', 'CES1', 'ETFDH', 'ELP5', 'ARSA', 'ALDH1L1', 'SLC6A3', 'CORO7', 'ARHGEF28', 'PEBP4', 'SLC6A2', 'DRD2', 'NFIB', 'SENP3', 'GRIN2B', 'CDH23']"
abacavir,"['SLC22A1', 'ALB', 'UGT1A1', 'ABCC2', 'CYP1B1', 'HLA-B', 'ADH1C', 'NEUROG2', 'ADH1B', 'FOXC2', 'PAX6', 'ALDH1A2', 'LTB', 'IFNG', 'MEOX1', 'UCP1', 'ADH1A', 'MMP9', 'HOXB7', 'TERT', 'GFAP', 'MPO', 'ORF1ab', 'UNCX', 'SYP', 'ABCG2', 'LTA', 'TCF15', 'HOXB9', 'ADH6', 'CRP', 'LST1', 'FGF8', 'IL13', 'ABCC3', 'CYP1A1', 'MESP2', 'HLA-C', 'ABCC1', 'OLIG3', 'IL4', 'PAX3', 'EYA1', 'ADK', 'TNF', 'PDCD1']"
thiamine,"['SLC22A1', 'CYP4B1', 'TNNT2', 'ALB', 'ENTPD5', 'AKT1', 'ACHE', 'SQSTM1', 'NFE2L2', 'IL1B', 'FABP4', 'SLC19A3', 'Cyp3a2', 'GSDMD', 'SLC19A2', 'TLR4', 'THTPA', 'NLRP3', 'CKB', 'Cyp2c23', 'SLC22A5', 'PPARG', 'BCHE', 'CA1', 'CASP3', 'MYC', 'thiB', 'MAP1LC3B', 'SLC22A2', 'NOS2', 'PTGS2', 'BCL2', 'CYP2E1', 'CA6', 'TPK1', 'CKM', 'CAT', 'CA2', 'AQP7', 'CASP1', 'NQO1', 'TKT', 'BAX', 'TNF', 'IL6']"
milrinone,"['Kap', 'MYL1', 'NOS1', 'PER2', 'AKIP1', 'NOCT', 'ANGPTL4', 'MSI2', 'GPNMB', 'PDE4A', 'HADH', 'NR4A3', 'IGKC', 'Adh1', 'PDE5A', 'CXCL8', 'POSTN', 'Lyz2', 'ASPN', 'FHL1', 'PDE3B', 'NPPA', 'CRP', 'CFTR', 'FAM171A1', 'TIMP1', 'DBP', 'MYH7', 'BMAL1', 'PDE3A', 'S100A4', 'CSRP2', 'EIF4EBP2', 'Ren1', 'THBS4', 'CTHRC1', 'Reg3b', 'GADD45G', 'PDE2A', 'AQP7', 'CREM', 'SPP1', 'CHTF8', 'TNF', 'IL6']"
benzoyl peroxide,"['GPX6', 'Prl2c4', 'GPX4', 'G6PD', 'PRKCE', 'PRKCG', 'HRAS', 'CXCL8', 'PARP1', 'PRKCD', 'PRKCI', 'CRYZ', 'GPX1', 'SOD1', 'GPX7', 'ESR1', 'TGFB1', 'PRKCB', 'MPO', 'GJA1', 'GGT1', 'XDH', 'EGR1', 'FOS', 'GSR', 'IL1A', 'Prl2c2', 'PRKCZ', 'GPX3', 'PTGS2', 'GPX5', 'GPX2', 'ODC1', 'JUNB', 'NR3C1', 'CAT', 'GPX8', 'AZIN2', 'GJB2', 'JUN', 'PRKCQ', 'IGF1', 'PRKCA', 'GJB5', 'IL6']"
procaine,"['SLC6A4', 'KCNMB1', 'HRH1', 'TRPV1', 'AKT1', 'ITPR1', 'GRIN3A', 'CASP12', 'MAPK3', 'HSPA5', 'MAOA', 'CALCA', 'KCNN1', 'CDH5', 'SCN10A', 'RYR1', 'CAPN1', 'CES2', 'DNMT3A', 'ESR1', 'CAPN2', 'CHRNA10', 'KCNN2', 'KCNMB3', 'NPPA', 'BCHE', 'MAOB', 'CASP3', 'KCNMB2', 'CHRNA2', 'ALPL', 'HTR3A', 'KCNMA1', 'DNMT1', 'MAPK1', 'SLC6A3', 'PLCG1', 'SLC6A2', 'KCNMB4', 'OXT', 'PLA2G4A', 'ASPG', 'RYR2', 'KCNN3', 'NR1I2']"
selegiline,"['SLC22A1', 'COL1A1', 'CYP2C8', 'AKT1', 'Mt1', 'BACH1', 'TH', 'MAPK3', 'NFE2L2', 'SNCA', 'TXN', 'HMOX1', 'CXCL8', 'MAOA', 'PARP1', 'Siah1a', 'GAPDH', 'FOS', 'ABCB1', 'CYP2D6', 'MAOB', 'CASP3', 'MYC', 'RELA', 'CYP1A2', 'SLC22A2', 'COL3A1', 'MAPK1', 'CYP2A6', 'PRKN', 'STAT3', 'BCL2', 'CAT', 'CYP2B6', 'JUN', 'NQO1', 'CYP3A4', 'CYCS', 'SOD2', 'ACTA2', 'AIFM1', 'CYP2C9', 'TACR1', 'BAX', 'CYP2C19']"
febuxostat,"['UGT1A1', 'ALB', 'CYP2C8', 'AGER', 'CTNNB1', 'VEGFA', 'IL1RAP', 'CXCL8', 'DUSP8', 'GOT2', 'UGT2B7', 'CCL2', 'DUSP5', 'UGT1A6', 'MMP9', 'UGT1A10', 'DUSP10', 'MAPK8', 'UGT1A5', 'ABCG2', 'UGT1A9', 'XDH', 'IKBKB', 'CASP3', 'RELA', 'CYP1A2', 'AOX1', 'UGT1A3', 'HMGB1', 'DUSP4', 'PTGS2', 'UGT1A8', 'MRAS', 'NPPB', 'BCL2', 'UGT1A4', 'GADD45G', 'AR', 'SOD2', 'NR4A1', 'CYP2C9', 'BAX', 'UGT1A7', 'TNF']"
everolimus,"['NOTCH1', 'BRCA2', 'ERBB2', 'FLCN', 'PIK3CA', 'KRAS', 'BAP1', 'PIK3R1', 'FKBP1A', 'ESR2', 'AKT1', 'SLCO1B1', 'HRAS', 'EGFR', 'GNAQ', 'PBRM1', 'CYP3A5', 'RB1', 'MPL', 'ESR1', 'ATM', 'RET', 'MTOR', 'ABCB1', 'CYP2D6', 'SLCO1A2', 'PTEN', 'NF2', 'AKT3', 'TSC1', 'RPTOR', 'BRAF', 'AKT2', 'TSC2', 'AR', 'VHL', 'NRAS', 'KDM5C', 'STK11', 'CYP3A4', 'FGFR4', 'GNA11', 'BRCA1', 'SLCO1B3']"
flecainide,"['KCNH2', 'Kcna1', 'ALB', 'SLC22A1', 'KCNJ11', 'SCN5A', 'GDPD3', 'LSS', 'KCND3', 'NUPR1', 'SLC2A3', 'KCNA5', 'SERPINA3', 'ASNS', 'ORM1', 'SLC47A1', 'Kcnc1', 'CASP7', 'INHBE', 'DEPP1', 'ABCB1', 'FOS', 'TAGLN', 'AP1S1', 'CYP2D6', 'CASP3', 'ORM2', 'SLC22A4', 'CYP1A2', 'SCN4A', 'FABP1', 'NR0B2', 'SCN11A', 'KCNA7', 'COP1', 'ASAH1', 'HPN', 'Kcna2', 'SLC22A3', 'RYR2', 'WIPI1', 'CYP2C9', 'HCN4', 'FNDC4']"
trazodone,"['KCNH2', 'SLC6A4', 'Htr2a', 'HRH1', 'TNFAIP6', 'CYP1B1', 'HTR2C', 'BMP6', 'SLPI', 'TNNT3', 'DRD1', 'CHRM3', 'IL1B', 'CHRM1', 'HTR2A', 'CXCL8', 'CYP3A5', 'PID1', 'EREG', 'IL24', 'HTR1A', 'ABCB1', 'IL1A', 'SLC7A11', 'CYP2D6', 'CHRM2', 'SLC22A2', 'Htr2c', 'ADRA2A', 'HSD17B10', 'NOS2', 'PTGS2', 'HTR2B', 'SLC6A3', 'MET', 'SLC6A2', 'CAT', 'CHRM4', 'CYP3A4', 'SOD2', 'ADRA1A', 'KAT2A', 'ADRA1B', 'CYP3A7-CYP3A51P']"
triazolam,"['GABRG2', 'BRD3', 'CYP2C8', 'GABRR1', 'GABRA3', 'GABRG1', 'TRHR', 'ARC', 'GRIA4', 'TRH', 'CYP3A7-CYP3A51P', 'GABRR3', 'PBRM1', 'CYP3A5', 'GABRP', 'GABRB1', 'GABRB2', 'PTAFR', 'GABRD', 'CREBBP', 'KAT2B', 'GABRA2', 'FOS', 'GABRE', 'BDNF', 'GRIA1', 'GABRQ', 'SLC22A2', 'GABRA5', 'BRD4', 'SLC22A6', 'GABRG3', 'TSPO', 'BRD2', 'BAZ2B', 'CYP3A4', 'NR4A1', 'GABRA1', 'GABRA4', 'CCKBR', 'GABRR2', 'BRDT', 'GABRA6', 'GABRB3']"
bydureon,"['ALB', 'ERN1', 'Scd1', 'AKT1', 'DDIT3', 'EIF2S1', 'SLC30A8', 'NFE2L2', 'HSPA5', 'HMOX1', 'PRKCD', 'XBP1', 'EIF2AK3', 'SFTPB', 'TNFSF11', 'TNFRSF11B', 'C1QTNF3', 'PPARA', 'ACP5', 'EEF1A1', 'INS', 'Ins1', 'LRP5', 'PPARG', 'LEPR', 'CPT1A', 'FABP1', 'SFTPA1', 'SOST', 'BCL2', 'FASN', 'INSR', 'GPAM', 'NQO1', 'DGAT1', 'TP53', 'SREBF1', 'GLP1R', 'BGLAP', 'BAX', 'GCLC', 'TNF', 'IL6']"
prochlorperazine,"['SLC22A1', 'DRD3', 'HRH1', 'NCF1', 'TFEB', 'HTR2C', 'ACHE', 'ADRA2B', 'EHMT2', 'NCF2', 'DRD1', 'MCL1', 'HTR2A', 'DRD4', 'RAC1', 'ESR1', 'CYP2D6', 'NCF4', 'CYBB', 'IDH1', 'CHRM2', 'ADRA2C', 'GMNN', 'CYP1A2', 'ANKK1', 'ADRA1D', 'RAC2', 'ADRA2A', 'IL2', 'DRD2', 'CYBA', 'RAPGEF4', 'BAZ2B', 'CYP3A4', 'CBX1', 'ADRA1A', 'TP53', 'CYP2C9', 'KDM4A', 'MPHOSPH8', 'ATXN2', 'ADRA1B', 'CYP2C19']"
triamcinolone,"['ALB', 'HPGD', 'FGF2', 'AKT1', 'GLCCI1', 'POMC', 'PGR', 'CRHR1', 'VEGFA', 'NFE2L2', 'G6PD', 'FABP4', 'NR3C2', 'CYP3A7-CYP3A51P', 'CASP9', 'CCL2', 'NFKB1', 'PTPN11', 'MB', 'SERPINA6', 'CYP3A5', 'ESR1', 'TGFB1', 'ANXA1', 'APOE', 'ABCG2', 'INS', 'BCHE', 'CYP2D6', 'SLC2A1', 'HCG22', 'CD1A', 'CYP1A2', 'PTGS2', 'ESRRG', 'LPL', 'NR3C1', 'MMP1', 'ADIPOQ', 'AR', 'CYP3A4', 'CYP2C9', 'CYP2C19']"
