Drug,Targets
"benzyl 6-benzyl-5,7-dioxo-6,7-dihydro-5h-[1,3]thiazolo[3,2-c]pyrimidine-2-carboxylate",['MMP13']
zolmitriptan,"['CYP1A2', 'MAOA', 'HTR1D', 'HTR1B', 'HTR1F', 'HTR1A']"
desonide,['NR3C1']
"5-(4-morpholin-4-yl-phenylsulfanyl)-2,4-quinazolinediamine",[]
degarelix,['GNRHR']
"(3r)-4-[(3r)-3-amino-4-(2,4,5-trifluorophenyl)butanoyl]-3-methyl-1,4-diazepan-2-one",['DPP4']
"(2s)-4-(2,5-difluorophenyl)-n-methyl-2-phenyl-n-piperidin-4-yl-2,5-dihydro-1h-pyrrole-1-carboxamide",['KIF11']
l-methionine,"['GLUL', 'MTR', 'MTRR', 'MTHFR', 'SLC16A10', 'MAT2A', 'MAT1A', 'METAP2', 'BHMT', 'BHMT2', 'MSRB2', 'MSRB1', 'MSRA', 'MARS', 'MARS2', 'MAT2B']"
ambroxol,['CYP3A4']
acetamide,[]
n-[(furan-2-yl)carbonyl]-(s)-leucyl-(r)-[1-amino-2(1h-indol-3-yl)ethyl]-phosphonic acid,[]
1-3 sugar ring of pentamannosyl 6-phosphate,['M6PR']
carmustine,"['CYP1A2', 'GSR']"
5(r)-5-fluoro-beta-d-xylopyranosyl-enzyme intermediate,[]
5-(dimethylamino)-2-naphthalenesulfonic acid,['PLAT']
octylphenoxy polyethoxyethanol,['TNNC2']
"5-[1-(4-methoxyphenyl)-1h-benzimidazol-6-yl]-1,3,4-oxadiazole-2(3h)-thione",['GSK3B']
linagliptin,"['ABCB1', 'CYP3A4', 'DPP4']"
perampanel,"['CYP3A4', 'CYP3A5', 'GRIA1']"
lpc-ether,"['PLA2G1B', 'GM2A']"
beclomethasone dipropionate,"['CYP3A5', 'NR3C1', 'SERPINA6']"
"8-ethyl-3,10,10-trimethyl-4,5,6,8,10,12-hexahydropyrazolo[4',3':6,7]cyclohepta[1,2-b]pyrrolo[2,3-f]indol-9(1h)-one",['AURKA']
"2,6-dicarboxynaphthalene","['HBA2', 'HBB']"
"n-(2-chloro-6-methylphenyl)-8-[(3s)-3-methylpiperazin-1-yl]imidazo[1,5-a]quinoxalin-4-amine",['LCK']
2-nonyl-4-hydroxyquinoline n-oxide,"['CYC1', 'MT-CYB', 'UQCRC1', 'UQCRC2', 'UQCRH', 'UQCRQ', 'UQCRFS1', 'UQCRB', 'UQCR10', 'UQCR11']"
"2,4,6-tribromophenol",['TTR']
"4-carboxy-5-(1-pentyl)hexylsulfanyl-1,2,3-triazole",['HAO1']
diclofenamide,"['CYP2C9', 'CA1', 'CA2', 'CA4', 'CA7']"
arformoterol,"['CYP2D6', 'CYP2C9', 'CYP2C19', 'CYP2A6', 'ADRB2']"
n-[(2r)-2-benzyl-4-(hydroxyamino)-4-oxobutanoyl]-l-alanine,['LTA4H']
trans-4-(guanidinomethyl)-cyclohexane-l-yl-d-3-cyclohexylalanyl-l-azetidine-2-yl-d-tyrosinyl-l-homoargininamide,['F2']
tartaric acid,"['B3GAT1', 'HIF1AN']"
"(5z)-12-chloro-13,15-dihydroxy-4,7,8,9-tetrahydro-2-benzoxacyclotridecine-1,10(3h,11h)-dione",['HSP90AB1']
taurocholic acid,"['ABCB1', 'ABCC2', 'ABCC3', 'ABCB11', 'ABCC1', 'SLCO1A2', 'SLC10A2', 'SLC10A1', 'SLC22A6', 'ABCC10', 'ABCG2', 'SLCO1B1', 'SLC16A1', 'SLC22A1', 'SLC7A11', 'SLC22A8', 'ABCC4', 'ABCC11', 'SLCO2B1', 'SLCO1B3', 'SLCO1C1', 'SLCO4A1', 'SLC51A', 'SLCO3A1', 'FABP6']"
"5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3h)-one",['CHEK1']
grazoprevir,"['ABCB1', 'SLCO1B1', 'SLCO1B3']"
canagliflozin,"['ABCB1', 'CYP3A4', 'UGT1A9', 'ABCC2', 'ALB', 'ORM1', 'UGT2B4', 'SLC5A1']"
2-[trans-(4-aminocyclohexyl)amino]-6-(benzyl-amino)-9-cyclopentylpurine,['CDK2']
"4-{[5-(cyclohexylamino)[1,2,4]triazolo[1,5-a]pyrimidin-7-yl]amino}benzenesulfonamide",['CDK2']
adenosine triphosphate,"['ABCB1', 'ABCC2', 'ABCB11', 'ASS1', 'ASNS', 'ACSS1', 'ACSS2', 'PRKAA1', 'ADCY1', 'ACSL1', 'ADK', 'ABL2', 'ABCG1', 'ABCA1', 'ALK', 'NAE1', 'ARAF', 'ACVRL1', 'NT5C2', 'ASNA1', 'ABCC9', 'AKT1', 'GRK2', 'APAF1', 'ACVR1B', 'ACVR1', 'CDK15', 'SLC25A4', 'ABCC8', 'AFG3L2', 'GRK3', 'AMHR2', 'TNK2', 'ABL1']"
"1,2,3-trihydroxy-1,2,3,4-tetrahydrobenzo[a]pyrene",['POLK']
"5-(5-(2,6-dichloro-4-(4,5-dihydro-2-oxazolyl)phenoxy)pentyl)-3-(hydroxyethyl oxymethyleneoxymethyl) isoxazole",[]
scopolamine,"['ABCB1', 'CHRM3', 'CHRM1', 'CHRM2', 'CHRM4', 'CHRM5', 'SI']"
antihemophilic factor (recombinant),"['F2', 'F10', 'F9', 'VWF', 'PHYH', 'ASGR2', 'HSPA5', 'CALR', 'CANX', 'LMAN1', 'LRP1', 'MCFD2', 'PROC']"
"n-hydroxy-4-[(4-methoxylphenyl)sulfonyl]-2,2-dimethyl-hexahydro-1,4-thiazepine-3(s)-carboxamide",['MMP3']
metolazone,['SLC12A3']
interferon beta-1a,"['IFNAR2', 'IFNAR1']"
cra_10950,['PRSS1']
5-nitroindazole,"['NOS3', 'NOS2']"
erythropoietin,['EPOR']
"3-{[(2,2-dioxido-1,3-dihydro-2-benzothien-5-yl)amino]methylene}-5-(1,3-oxazol-5-yl)-1,3-dihydro-2h-indol-2-one",['CDK2']
bv2,[]
s-(n-hydroxy-n-iodophenylcarbamoyl)glutathione,['GLO1']
(r)-3-bromo-2-hydroxy-2-methyl-n-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,['AR']
bis(5-amidino-benzimidazolyl)methane zinc,['PRSS1']
carboprost tromethamine,['PTGER1']
6-methylamino-5-nitroisocytosine,[]
venlafaxine,"['CYP2D6', 'ABCB1', 'CYP3A4', 'CYP2C9', 'CYP2C19', 'ABCG2', 'CYP2B6', 'SLC6A4', 'SLC6A3', 'SLC6A2']"
4-(hydroxymercury)benzoic acid,['CA2']
tetracycline,"['CYP3A4', 'ALB', 'SLC22A6', 'SLC22A8', 'PADI4', 'SLC22A11', 'PRNP']"
acetaminophen,"['PTGS2', 'CYP1A2', 'CYP2D6', 'ABCB1', 'PTGS1', 'CYP3A4', 'CYP2E1', 'CYP2C9', 'UGT1A9', 'CYP2C8', 'SLC22A6', 'TRPV1', 'CYP1A1', 'CYP2A6', 'UGT1A1', 'UGT2B15', 'UGT1A6', 'UGT1A10', 'NAT2', 'FAAH', 'SULT1A1', 'SULT1E1', 'SULT2A1']"
1-deoxy-1-thio-heptaethylene glycol,['ACHE']
4-bromo-3-(carboxymethoxy)-5-[3-(cyclohexylamino)phenyl]thiophene-2-carboxylic acid,['PTPN1']
n-carbamoyl-l-aspartate,[]
3'-oxo-adenosine,['AHCY']
gemtuzumab ozogamicin,"['FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'C1S', 'FCGR1A', 'FCGR2A', 'FCGR2B', 'FCGR2C', 'CD33']"
beta-d-glucopyranose spirohydantoin,['PYGM']
6-o-phosphoryl inosine monophosphate,['ADSSL1']
boc-gamma-d-glu-l-lys(cbz)-d-boroala,[]
"trans-(1s,2s)-2-amino-1,2,3,4-tetrahydronaphthalen-1-ol",['PNMT']
"(2r)-1-[(5,6-diphenyl-7h-pyrrolo[2,3-d]pyrimidin-4-yl)amino]propan-2-ol",['CHEK1']
2-amino-6-oxo-hexanoic acid,[]
cbz-leu-leu-tyr-ch2f,['CAPN1']
vidarabine,['ADA']
bifeprunox,"['DRD2', 'HTR1A']"
"4-{[(1r,2s)-1,2-dihydroxy-2-methyl-3-(4-nitrophenoxy)propyl]amino}-2-(trifluoromethyl)benzonitrile",['AR']
2-deoxy-2-fluoro-α-d-glucose,['LCT']
bromo-willardiine,['GRIA2']
5-hydroxymethyl-chonduritol,"['AMY2A', 'AMY2A', 'AMY1C']"
protoporphyrin ix containing co,"['PTGS1', 'CYCS']"
varenicline,"['CHRNA4', 'CHRNA7', 'CHRNA3', 'CHRNA6']"
pyridostigmine,"['CYP3A4', 'BCHE', 'ACHE']"
debrisoquin,"['CYP2D6', 'ABCB1', 'CYP1A1', 'SLC6A2']"
"3,4-dichloroisocoumarin",['CFD']
famotidine,"['CYP2C19', 'SLC22A2', 'SLC22A8', 'HRH2']"
1-[6-(2-chloro-4-methyxyphenoxy)-hexyl]-imidazole,[]
captopril,"['CYP2D6', 'ABCB1', 'ALB', 'SLC22A6', 'ACE', 'MMP2', 'MMP9', 'LTA4H']"
sodium carbonate,"['CA1', 'CA2', 'CA4', 'CA9']"
4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid,['FAAH']
humax-egfr,['EGFR']
malonate ion,['SDF2']
"5-methoxy-1,2-dimethyl-3-(4-nitrophenoxymethyl)indole-4,7-dione",['NQO1']
n-(7-carbamimidoyl-naphthalen-1-yl)-3-hydroxy-2-methyl-benzamide,['F11']
abequose,[]
spiramycin,['CYP3A4']
7n-methyl-8-hydroguanosine-5'-triphosphate,[]
indole-3-propanol phosphate,[]
4-(6-cyclohexylmethoxy-9h-purin-2-ylamino)--benzamide,"['CDK2', 'CCNA2']"
dextropropoxyphene,"['CYP2D6', 'CYP3A4', 'CYP2C9', 'CYP2C8', 'OPRM1', 'OPRK1', 'OPRD1']"
"5-(2-hydroxyethyl)nonane-1,9-diol",['ECE1']
n-(5-isopropyl-thiazol-2-yl)-2-pyridin-3-yl-acetamide,['CDK2']
batimastat,"['MMP12', 'MMP8', 'MMP16', 'ADAMTS5']"
"3,5-dimethyl-1-phenyl-1h-pyrazole-4-carboxylic acid ethyl ester",['PDE4D']
"9-(5,5-difluoro-5-phosphonopentyl)guanine",['PNP']
2-{n'-[2-(5-amino-1-phenylcarbamoyl-pentylcarbamoyl)-hexyl]-hydrazinomethyl}-hexanoic acid(5-amino-1-phenylcarbamoyl-pentyl)-amide,[]
benzoyl-tyrosine-alanine-methyl ketone,['CTSF']
mf101,['ESR2']
cetrorelix,"['GNRHR', 'LHCGR']"
pindolol,"['CYP2D6', 'ADRB1', 'ADRB2', 'HTR1B', 'HTR1A']"
"2,6-dibromo-4-[(e)-2-phenylethenyl]phenol",['TTR']
1-[4-(pyridin-4-yloxy)phenyl]-3-[3-(trifluoromethyl)phenyl]urea,['ABL1']
"3,6,9,12,15-pentaoxatricosan-1-ol",['DHODH']
s-{2-[amino(dihydroxy)-lambda~4~-sulfanyl]ethyl}-d-cysteine,['ARG1']
"n-[(1r,2r,3e)-2-hydroxy-1-(hydroxymethyl)heptadec-3-en-1-yl]acetamide",[]
"(5r)-2-[(2-fluorophenyl)amino]-5-(1-methylethyl)-1,3-thiazol-4(5h)-one",['HSD11B1']
indole naphthyridinone,[]
diphemanil methylsulfate,['CHRM3']
h type i trisaccharide,['ABO']
benzenesulfonyl,['NR1H2']
"(2r,3r,4r,5s)-2-(hydroxymethyl)-1-nonylpiperidine-3,4,5-triol",['GBA']
maleic acid,['GOT1']
purine riboside,['ADA']
sodium lauryl sulfate,['ALB']
ubenimex,"['SLC15A2', 'LTA4H']"
etomidate,"['CYP19A1', 'GABRA1', 'ADRA2B', 'CYP11B2', 'SLC2A1']"
"(1s,2s,3r,4s,5s)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexyl (1e)-2-phenyl-n-(sulfooxy)ethanimidothioate",['LCT']
1-{[1-(2-amino-3-phenyl-propionyl)-pyrrolidine-2-carbonyl]-amino}-2-(3-cyano-phenyl)-ethaneboronic acid,['PRSS1']
naringenin,"['ABCB1', 'ABCC1', 'ABCG2', 'SLCO2B1']"
n-(biphenyl-4-ylsulfonyl)-d-leucine,['MMP12']
ru79072,['SRC']
filgrastim,"['CSF3R', 'ELANE']"
"n-(2,2,2-trifluoroethyl)-n-{4-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]phenyl}benzenesulfonamide","['NR1I2', 'RXRB', 'NCOA1', 'NCOA2', 'NR1H2', 'NR1H3']"
"4,4'-biphenyldiboronic acid",[]
"2-(6-chloro-3-{[2,2-difluoro-2-(1-oxido-2-pyridinyl)ethyl]amino}-2-oxo-1(2h)-pyrazinyl)-n-[(2-fluorophenyl)methyl]acetamide",['F2']
ado-p-ch2-p-ps-ado,['FHIT']
"1-[(2s)-4-(5-phenyl-1h-pyrazolo[3,4-b]pyridin-4-yl)morpholin-2-yl]methanamine",['CHEK1']
praziquantel,"['CYP1A2', 'CYP2D6', 'CYP3A4', 'CYP2C19', 'CYP3A5', 'CYP3A43']"
monogalactosyl-diacylglycerol,[]
"deoxycytidylyl-3',5'-guanosine",['RNASE1']
cdp323,['ITGA4']
cra_10991,['PRSS1']
niclosamide,"['CYP1A2', 'CYP2C9']"
oxazepam,"['CYP3A4', 'UGT1A9', 'CYP3A5', 'UGT2B15', 'UGT2B7', 'GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRD', 'GABRP', 'GABRR1', 'GABRR2', 'GABRQ', 'CYP3A43']"
glutathione sulfonic acid,"['GSTA1', 'GSTM4', 'GSTP1']"
nitrendipine,"['ABCB1', 'CYP3A4', 'CYP3A5', 'CACNA1C', 'CACNA2D1', 'CACNB2', 'CACNA1H', 'CACNA2D2', 'CACNA1D', 'CACNA1S', 'CACNG1']"
molindone,"['DRD2', 'CHRM1', 'HTR1A', 'HTR2A']"
5-(7-(5-hydro-4-methyl-2-oxazolyl)phenoxy)heptyl)-3-methyl isoxazole,[]
"s-[2-({n-[(2s)-2-hydroxy-3,3-dimethyl-4-(phosphonooxy)butanoyl]-beta-alanyl}amino)ethyl] hexanethioate",[]
liotrix,"['ABCB1', 'ALB', 'CYP2C8', 'SLCO1A2', 'SLC10A1', 'SLCO1B1', 'SLC16A10', 'SLC16A2', 'SLC22A8', 'SLCO1B3', 'SLCO1C1', 'TTR', 'THRA', 'THRB', 'SERPINA7', 'SLCO4A1']"
"3-amino-3-benzyl-9-carboxamide[4.3.0]bicyclo-1,6-diazanonan-2-one",['F2']
(4-ethylphenyl)sulfamic acid,['PTPRB']
"2-(3-fluoro-4-hydroxyphenyl)-7-vinyl-1,3-benzoxazol-5-ol","['ESR2', 'NCOA1']"
fosinopril,"['ACE', 'SLC15A2']"
"4-({(2r,5s)-2,5-dimethyl-4-[(2r)-3,3,3-trifluoro-2-hydroxy-2-methylpropanoyl]piperazin-1-yl}carbonyl)benzonitrile",['PDK2']
3-ethyl-6-{[(4-fluorophenyl)sulfonyl]amino}-2-methylbenzoic acid,['METAP2']
"1-[4-(4-chlorophenyl)-1-(7h-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-yl]methanamine","['PRKACA', 'PKIA']"
finasteride,"['CYP3A4', 'CYP3A5', 'SRD5A1', 'AKR1D1', 'SRD5A2']"
diflorasone,['NR3C1']
2-aminoethanesulfonic acid,[]
irbesartan,"['CYP1A2', 'CYP2D6', 'PTGS1', 'CYP3A4', 'CYP2C9', 'CYP2C8', 'AGTR1', 'UGT1A3', 'JUN']"
5-bromo-2'-deoxyuridine-5'-monophosphate,[]
mercaptomethyl phosphonate,[]
d-arginine,['CKM']
"4-methyl-5-{(2e)-2-[(4-morpholin-4-ylphenyl)imino]-2,5-dihydropyrimidin-4-yl}-1,3-thiazol-2-amine","['CDK2', 'CCNA2']"
4-[4-(4-methyl-2-methylamino-thiazol-5-yl)-pyrimidin-2-ylamino]-phenol,['CDK2']
"3,5-dibromobiphenyl-4-ol",['TTR']
leptin,['LEPR']
lerafaon,['RAF1']
roxatidine acetate,['HRH2']
adx-48621,['GRM5']
"r-3-fluoro-4-[2-hydroxy-2-(5,5,8,8-tetramethyl-5,6,7,8,-tetrahydro-naphtalen-2-yl)-acetylamino]-benzoic acid",['RARG']
"synthetic conjugated estrogens, b","['CYP3A4', 'ESR1']"
[3-(1-benzyl-3-carbamoylmethyl-2-methyl-1h-indol-5-yloxy)-propyl-]-phosphonic acid,['PLA2G2A']
phenylalanylaminodi(ethyloxy)ethyl benzenesulfonamideaminocarbonylbenzenesulfonamide,['CA2']
"(2r,6s)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine",['DHFR']
risedronate,"['PTGS2', 'FDPS']"
human serum albumin,"['MPO', 'APOE', 'SAA1', 'AMBP', 'CYP2C9', 'UGT1A9']"
trimetazidine,['ACAA1']
cyclohexyl-pentyl-maltoside,['CYP2B6']
"1-{5-[2-(thieno[3,2-d]pyrimidin-4-ylamino)ethyl]-1,3-thiazol-2-yl}-3-[3-(trifluoromethyl)phenyl]urea",['AURKA']
(2r)-2-(4-chlorophenyl)-2-phenylethanamine,"['PRKACA', 'PKIA']"
norfloxacin,"['CYP1A2', 'CYP3A4', 'CYP3A5', 'SLC22A6', 'SLC22A5', 'CYP1A1', 'CYP2A6', 'TOP2A']"
purine riboside-5'-monophosphate,['RNASE1']
"3',5'-difluorobiphenyl-4-carboxylic acid",['TTR']
"5-fluoro-1-[4-(4-phenyl-3,6-dihydropyridin-1(2h)-yl)butyl]quinazoline-2,4(1h,3h)-dione",['PARP1']
s-(2-oxo)pentadecylcoa,['NMT2']
(1s)-2-(1h-indol-3-yl)-1-[({5-[(e)-2-pyridin-4-ylvinyl]pyridin-3-yl}oxy)methyl]ethylamine,"['PRKACA', 'PKIA']"
mito-4509,['APP']
sulfacetamide,[]
s-hydroxymethyl glutathione,['ADH5']
"(5r)-6-(4-{[2-(3-iodobenzyl)-3-oxocyclohex-1-en-1-yl]amino}phenyl)-5-methyl-4,5-dihydropyridazin-3(2h)-one",['PDE3B']
dehydroepiandrosterone sulfate,"['PTGS2', 'CYP19A1', 'SLCO1A2', 'SLCO1B1', 'SLC22A8', 'SLCO2B1', 'SLCO1B3']"
"2,4-diamino-5-methyl-6-[(3,4,5-trimethoxy-n-methylanilino)methyl]pyrido[2,3-d]pyrimidine",['DHFR']
lomitapide,"['ABCB1', 'CYP3A4', 'MTTP']"
n-(5-cyclopropyl-1h-pyrazol-3-yl)benzamide,['CDK2']
(1r)-3-chloro-1-phenylpropan-1-ol,[]
"2-chloro-n-[(1r,2r)-1-hydroxy-2,3-dihydro-1h-inden-2-yl]-6h-thieno[2,3-b]pyrrole-5-carboxamide",['PYGM']
procaterol,['ADRB2']
aminomethylcyclohexane,['PRSS1']
"dimethyl-(4,5,6,7-tetrabromo-1h-benzoimidazol-2-yl)-amine",['CSNK2A1']
demecarium,"['BCHE', 'ACHE']"
"(5r)-5-[(1e)-buta-1,3-dienyl]-4-hydroxy-3,5-dimethylthiophen-2(5h)-one",[]
lepirudin,['F2']
lumateperone,"['DRD2', 'HTR2A']"
atl1101,['IGF1R']
propofol,"['CYP1A2', 'CYP2D6', 'CYP3A4', 'CYP2E1', 'CYP2C9', 'UGT1A9', 'ALB', 'CYP2C18', 'CYP2C19', 'CYP2C8', 'CYP1B1', 'CYP1A1', 'CYP2B6', 'CYP2A6', 'UGT1A1', 'UGT1A6', 'UGT1A8', 'GABRB2', 'GABRB3', 'FAAH', 'SCN2A', 'SCN4A']"
triglu-5-formyl-tetrahydrofolate,['SHMT1']
"6-methoxy-9-methyl[1,3]dioxolo[4,5-h]quinolin-8(9h)-one",['NQO2']
(2r)-2-phenyl-n-pyridin-4-ylbutanamide,[]
metamizole,"['PTGS1', 'CYP3A4', 'CYP2B6']"
seocalcitol,['VDR']
drotaverine,"['CACNA1C', 'PDE4A']"
"5-methyl-n-[4-(trifluoromethyl)phenyl][1,2,4]triazolo[1,5-a]pyrimidin-7-amine",['DHODH']
"2-(1,1-dimethylethyl)9-fluoro-3,6-dihydro-7h-benz[h]-imidaz[4,5-f]isoquinolin-7-one","['JAK2', 'DAPK3', 'JAK1', 'JAK3', 'TYK2']"
751689,['CASR']
"2-[({2-[(1z)-3-(dimethylamino)prop-1-enyl]-4-fluorophenyl}sulfonyl)amino]-5,6,7,8-tetrahydronaphthalene-1-carboxylic acid",['METAP2']
4-[(1s)-1-(3-fluoro-4-methoxyphenyl)-2-(2-methoxy-5-nitrophenyl)ethyl]-1h-imidazol-2-amine,['BACE1']
opc-6535,['PDE4D']
"5-chloro-6-[(2-iminopyrrolidin-1-yl)methyl]pyrimidine-2,4(1h,3h)-dione","['TYMP', 'TYMP']"
2-(2-hydroxy-biphenyl)-1h-benzoimidazole-5-carboxamidine,"['F2', 'PLAU']"
miv-701,['CTSK']
incb9471,['CCR5']
"3-[4-(2,4-dimethyl-thiazol-5-yl)-pyrimidin-2-ylamino]-phenol",['CDK2']
hydrocodone,"['CYP2D6', 'CYP3A4', 'OPRM1', 'OPRD1']"
phosphonotyrosine,"['KIT', 'SRC', 'HCK']"
sulfasalazine,"['PTGS2', 'PTGS1', 'ABCC2', 'CYP3A5', 'ABCG2', 'SLC7A11', 'SLC46A1', 'PPARG', 'ALOX5', 'CHUK', 'IKBKB', 'ACAT1', 'TBXAS1', 'PLA2G1B']"
2-[(2-oxo-2-piperidin-1-ylethyl)thio]-6-(trifluoromethyl)pyrimidin-4(1h)-one,['FABP4']
hesperetin,"['CYP1A2', 'ABCG2', 'SOAT1', 'MTTP']"
cholesterol,"['ABCB1', 'ABCG2', 'RORA']"
s-(n-hydroxy-n-bromophenylcarbamoyl)glutathione,['HAGH']
n-[4-(3-bromo-phenylamino)-quinazolin-6-yl]-acrylamide,"['EGFR', 'SRC']"
decyloxy-methanol,[]
1h-benoximidazole-2-carboxylic acid,['CTSD']
levonorgestrel,"['CYP3A4', 'CYP19A1', 'ESR1', 'PGR', 'SRD5A1', 'AR']"
2-aminophenol,[]
"1-{(2s,5s)-4-fluoro-5-[(trityloxy)methyl]tetrahydrofuran-2-yl}pyrimidine-2,4(1h,3h)-dione",['DUT']
rev131,['HRH4']
sb939,"['HDAC2', 'HDAC1', 'HDAC3', 'HDAC6']"
"2,5-dichloro-n-(5-chloro-1,3-benzoxazol-2-yl)benzenesulfonamide",['FBP1']
2-aminobenzoic acid,['DAO']
brentuximab vedotin,"['ABCB1', 'CYP3A4', 'CYP3A5', 'TNFRSF8']"
"(9r,10r)-9-(s-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene","['GSTM1', 'GSTP1']"
"2-amino-6-(3,5-dimethylphenyl)sulfonylbenzonitrile",[]
flunisolide,"['CYP3A4', 'NR3C1', 'SERPINA6']"
amyl nitrite,"['ALDH2', 'NPR1']"
"2,2'-{[9-(hydroxyimino)-9h-fluorene-2,7-diyl]bis(oxy)}diacetic acid",['CHEK1']
methoxy arachidonyl fluorophosphonate,['FAAH']
"4-[(10s,14s,18s)-18-(2-amino-2-oxoethyl)-14-(1-naphthylmethyl)-8,17,20-trioxo-7,16,19-triazaspiro[5.14]icos-11-en-10-yl]benzylphosphonic acid",['GRB2']
fg-9041,['GRIA2']
sucralfate,"['FGA', 'ALB', 'FGF2', 'EGF', 'FGB', 'FGG']"
"7-(1,1-dioxo-1h-benzo[d]isothiazol-3-yloxymethyl)-2-(oxalyl-amino)-4,7-dihydro-5h-thieno[2,3-c]pyran-3-carboxylic acid",['PTPN1']
(2s)-2-[3-(aminomethyl)phenyl]-3-{(s)-hydroxy[(1r)-2-methyl-1-{[(2-phenylethyl)sulfonyl]amino}propyl]phosphoryl}propanoic acid,[]
temozolomide,['CYP3A4']
3-methoxy-6-[4-(3-methylphenyl)-1-piperazinyl]pyridazine,[]
fludeoxyglucose f-18,"['SLC2A1', 'SLC2A2', 'HK1', 'SLC2A4', 'SLC2A3', 'SLC2A5', 'SLC2A8', 'SLC2A12']"
trilostane,"['HSD3B2', 'HSD3B1', 'ESR1', 'ESR2']"
"3,3',5,5'-tetraiodothyroacetic acid",['TTR']
nz2-tryptophan,[]
"2-(cyclohexylmethylamino)-4-(phenylamino)pyrazolo[1,5-a][1,3,5]triazine-8-carbonitrile",['CSNK2A1']
phenyl ethenesulfonate,[]
kd7040,['NOS2']
virginiamycin s1,['RPL37']
flutemetamol (18f),['APP']
"(1s)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",['CASP3']
"d-[3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl]-n,o-cycloserylamide",[]
"2,5-anhydroglucitol-1,6-biphosphate",['FBP1']
