Drug,Targets
pentoxifylline,"['PDE1A', 'PDE6C', 'PDE7B', 'ADORA2A', 'PDE3B', 'PDE1C', 'PDE5A', 'PDE4D', 'PDE2A', 'PDE8A', 'PDE6A', 'PDE6B', 'PDE7A', 'PDE6G', 'PDE9A', 'PDE6H', 'PDE8B', 'ADORA2B', 'PDE1B', 'PDE10A', 'PDE6D', 'PDE4C', 'PDE4B', 'PDE4A', 'PDE3A']"
vandetanib,"['EPHB1', 'KDR', 'ERBB2', 'FLT4', 'PTK6', 'EPHA6', 'EPHA8', 'FLT1', 'EPHA3', 'EPHA10', 'ERBB4', 'SRC', 'EPHB2', 'EPHA1', 'EPHA2', 'EGFR', 'ERBB3', 'EPHB4', 'EPHB3', 'RET', 'EPHB6', 'EPHA5', 'TEK', 'EPHA7', 'EPHA4']"
dipyridamole,"['PDE1A', 'PDE6C', 'PDE7B', 'PDE3B', 'PDE1C', 'PDE5A', 'PDE4D', 'PDE2A', 'PDE8A', 'PDE6A', 'PDE6B', 'PDE7A', 'PDE6G', 'PDE9A', 'PDE6H', 'PDE8B', 'PDE1B', 'PDE10A', 'PDE6D', 'SLC29A1', 'PDE4C', 'PDE4B', 'PDE4A', 'PDE3A']"
isoflurane,"['GABRA5', 'GABRA6', 'KCNK10', 'GABRB2', 'GLRB', 'KCNK3', 'GABRB1', 'GABRE', 'GABRA4', 'KCNK18', 'GABRA2', 'GABRA1', 'GABRP', 'GABRD', 'GABRG1', 'KCNK2', 'GABRA3', 'GLRA1', 'GABRB3', 'GABRG3', 'GABRG2', 'GABRQ', 'KCNK9']"
desflurane,"['GABRA5', 'GABRA6', 'KCNK10', 'GABRB2', 'GLRB', 'KCNK3', 'GABRB1', 'GABRE', 'GABRA4', 'KCNK18', 'GABRA2', 'GABRA1', 'GABRP', 'GABRD', 'GABRG1', 'KCNK2', 'GABRA3', 'GLRA1', 'GABRB3', 'GABRG3', 'GABRG2', 'GABRQ', 'KCNK9']"
sevoflurane,"['GABRA5', 'GABRA6', 'KCNK10', 'GABRB2', 'GLRB', 'KCNK3', 'GABRB1', 'GABRE', 'GABRA4', 'KCNK18', 'GABRA2', 'GABRA1', 'GABRP', 'GABRD', 'GABRG1', 'KCNK2', 'GABRA3', 'GLRA1', 'GABRB3', 'GABRG3', 'GABRG2', 'GABRQ', 'KCNK9']"
acamprosate,"['GABRA5', 'GRIN2D', 'GABRA6', 'GABRB2', 'GRIN3A', 'GRIN1', 'GABRB1', 'GABRE', 'GABRA4', 'GABRA2', 'GABRA1', 'GABRP', 'GRIN2B', 'GABRD', 'GRIN3B', 'GABRG1', 'GABRA3', 'GRIN2C', 'GABRB3', 'GRIN2A', 'GABRG3', 'GABRG2', 'GABRQ']"
orphenadrine,"['GRIN2D', 'SCN2A', 'SCN11A', 'GRIN3A', 'SCN9A', 'GRIN1', 'SCN1A', 'SCN4A', 'SCN5A', 'GRIN2B', 'GRIN3B', 'SCN3A', 'SLC6A2', 'GRIN2C', 'SCN7A', 'SCN10A', 'HRH1', 'GRIN2A', 'SCN8A']"
regorafenib,"['DDR2', 'BRAF', 'FLT1', 'KIT', 'MAPK11', 'FGFR2', 'EPHA2', 'NTRK1', 'FGFR1', 'FRK', 'RET', 'KDR', 'FLT4', 'TEK', 'ABL1', 'PDGFRA', 'RAF1', 'PDGFRB']"
flurazepam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
meprobamate,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
lorazepam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
oxazepam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
butabarbital,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
methohexital,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
flumazenil,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
butalbital,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
midazolam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
brentuximab vedotin,"['TUBA3C', 'TUBA1A', 'TUBB', 'TUBA1B', 'TUBB3', 'TUBA1C', 'TUBB2B', 'TUBB6', 'TUBA4A', 'TUBB4A', 'TUBB8', 'TNFRSF8', 'TUBA3E', 'TUBB1', 'TUBB2A', 'TUBB4B']"
triazolam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
etomidate,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
clonazepam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
eszopiclone,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
trastuzumab emtansine,"['TUBA3C', 'TUBA1A', 'TUBB', 'TUBA1B', 'TUBB3', 'TUBA1C', 'TUBB2B', 'TUBB6', 'TUBA4A', 'TUBB4A', 'ERBB2', 'TUBB8', 'TUBB4B', 'TUBA3E', 'TUBB1', 'TUBB2A']"
clobazam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
secobarbital,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
quazepam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
propofol,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
temazepam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
alprazolam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
diazepam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
dronedarone,"['HCN4', 'SCN2A', 'KCNJ2', 'SCN1A', 'SCN3A', 'CACNA1S', 'SCN4A', 'SCN11A', 'SCN8A', 'SCN5A', 'SCN7A', 'SCN10A', 'CACNA1F', 'CACNA1C', 'SCN9A', 'CACNA1D']"
pentobarbital,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
chlordiazepoxide,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
estazolam,"['GABRA5', 'GABRA6', 'GABRB1', 'GABRD', 'GABRB3', 'GABRG3', 'GABRG1', 'GABRE', 'GABRA4', 'GABRG2', 'GABRB2', 'GABRQ', 'GABRA3', 'GABRA2', 'GABRA1', 'GABRP']"
dasatinib,"['YES1', 'BCR', 'KIT', 'FGR', 'EPHA2', 'FYN', 'BLK', 'HCK', 'SRC', 'LCK', 'FRK', 'SRMS', 'LYN', 'ABL1', 'PDGFRB']"
eribulin,"['TUBA3C', 'TUBA1A', 'TUBB', 'TUBA1B', 'TUBB3', 'TUBA1C', 'TUBB2B', 'TUBB6', 'TUBA4A', 'TUBB4A', 'TUBB8', 'TUBB4B', 'TUBA3E', 'TUBB1', 'TUBB2A']"
colchicine,"['TUBA3C', 'TUBA1A', 'TUBB', 'TUBA1B', 'TUBB3', 'TUBA1C', 'TUBB2B', 'TUBB6', 'TUBA4A', 'TUBB4A', 'TUBB8', 'TUBB4B', 'TUBA3E', 'TUBB1', 'TUBB2A']"
cabazitaxel,"['TUBA3C', 'TUBA1A', 'TUBB', 'TUBA1B', 'TUBB3', 'TUBA1C', 'TUBB2B', 'TUBB6', 'TUBA4A', 'TUBB4A', 'TUBB8', 'TUBB4B', 'TUBA3E', 'TUBB1', 'TUBB2A']"
ixabepilone,"['TUBA3C', 'TUBA1A', 'TUBB', 'TUBA1B', 'TUBB3', 'TUBA1C', 'TUBB2B', 'TUBB6', 'TUBA4A', 'TUBB4A', 'TUBB8', 'TUBB4B', 'TUBA3E', 'TUBB1', 'TUBB2A']"
vinorelbine,"['TUBA3C', 'TUBA1A', 'TUBB', 'TUBA1B', 'TUBB3', 'TUBA1C', 'TUBB2B', 'TUBB6', 'TUBA4A', 'TUBB4A', 'TUBB8', 'TUBB4B', 'TUBA3E', 'TUBB1', 'TUBB2A']"
vincristine,"['TUBA3C', 'TUBA1A', 'TUBB', 'TUBA1B', 'TUBB3', 'TUBA1C', 'TUBB2B', 'TUBB6', 'TUBA4A', 'TUBB4A', 'TUBB8', 'TUBB4B', 'TUBA3E', 'TUBB1', 'TUBB2A']"
vinblastine,"['TUBA3C', 'TUBA1A', 'TUBB', 'TUBA1B', 'TUBB3', 'TUBA1C', 'TUBB2B', 'TUBB6', 'TUBA4A', 'TUBB4A', 'TUBB8', 'TUBB4B', 'TUBA3E', 'TUBB1', 'TUBB2A']"
paclitaxel,"['TUBA3C', 'TUBA1A', 'TUBB', 'TUBA1B', 'TUBB3', 'TUBA1C', 'TUBB2B', 'TUBB6', 'TUBA4A', 'TUBB4A', 'TUBB8', 'TUBB4B', 'TUBA3E', 'TUBB1', 'TUBB2A']"
gemcitabine,"['POLD3', 'RRM2B', 'POLD4', 'PRIM2', 'POLD2', 'POLE', 'POLE2', 'PRIM1', 'POLE3', 'POLA1', 'RRM1', 'RRM2', 'POLA2', 'POLD1']"
clofarabine,"['POLD3', 'RRM2B', 'POLD4', 'PRIM2', 'POLD2', 'POLE', 'RRM1', 'PRIM1', 'POLE2', 'POLA1', 'POLE3', 'RRM2', 'POLA2', 'POLD1']"
propafenone,"['ADRB2', 'SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'ADRB1', 'SCN7A', 'SCN10A', 'SCN9A']"
romidepsin,"['HDAC8', 'HDAC4', 'HDAC5', 'HDAC7', 'HDAC6', 'HDAC1', 'HDAC10', 'HDAC11', 'HDAC3', 'HDAC2', 'HDAC9']"
pazopanib,"['FLT1', 'KIT', 'PDGFRB', 'ITK', 'FGFR1', 'KDR', 'LCK', 'FLT4', 'CSF1R', 'PDGFRA', 'FGFR3']"
belinostat,"['HDAC8', 'HDAC4', 'HDAC5', 'HDAC7', 'HDAC6', 'HDAC1', 'HDAC10', 'HDAC11', 'HDAC3', 'HDAC2', 'HDAC9']"
cytarabine,"['POLD3', 'POLD4', 'PRIM2', 'POLD2', 'POLE', 'POLE2', 'PRIM1', 'POLE3', 'POLA1', 'POLA2', 'POLD1']"
panobinostat,"['HDAC8', 'HDAC4', 'HDAC5', 'HDAC7', 'HDAC6', 'HDAC1', 'HDAC10', 'HDAC11', 'HDAC3', 'HDAC2', 'HDAC9']"
prilocaine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
procainamide,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
quinidine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
riluzole,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
carbamazepine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
cocaine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
phenytoin,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
ropivacaine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
rufinamide,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
chloroprocaine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
tetracaine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
theophylline,"['ADORA2B', 'PDE4D', 'ADORA1', 'ADORA3', 'ADORA2A', 'PDE4B', 'PDE4A', 'PDE3A', 'PDE3B', 'PDE4C']"
disopyramide,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
procaine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
fosphenytoin,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
phenazopyridine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
lamotrigine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
lidocaine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
mepivacaine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
mexiletine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
ethotoin,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
oxcarbazepine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
zonisamide,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
dyclonine,"['SCN2A', 'SCN1A', 'SCN8A', 'SCN3A', 'SCN11A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN10A', 'SCN9A']"
droxidopa,"['ADRB2', 'ADRB3', 'ADRA1A', 'ADRA2A', 'ADRA1D', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRA1B']"
labetalol,"['ADRB2', 'ADRB3', 'ADRA1A', 'ADRA2A', 'ADRA1D', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRA1B']"
epinephrine,"['ADRB2', 'ADRB3', 'ADRA1A', 'ADRA2A', 'ADRA1D', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRA1B']"
ephedrine,"['ADRB2', 'ADRB3', 'ADRA1A', 'ADRA2A', 'ADRA1D', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRA1B']"
nintedanib,"['FLT1', 'PDGFRB', 'FGFR4', 'FGFR1', 'KDR', 'FLT4', 'FGFR2', 'PDGFRA', 'FGFR3']"
sunitinib,"['FLT1', 'KIT', 'FLT3', 'RET', 'KDR', 'FLT4', 'CSF1R', 'PDGFRA', 'PDGFRB']"
sorafenib,"['BRAF', 'FLT1', 'KIT', 'FLT3', 'RET', 'KDR', 'FLT4', 'RAF1', 'PDGFRB']"
digoxin,"['ATP1A4', 'ATP1A3', 'ATP1B2', 'ATP1B1', 'ATP1B3', 'FXYD2', 'ATP1A2', 'ATP1A1']"
trimipramine,"['ADRA1A', 'HRH1', 'HTR2C', 'DRD2', 'ADRA1D', 'HTR2A', 'SLC6A2', 'ADRA1B']"
bedaquiline,"['atpG', 'atpA', 'atpD', 'atpC', 'atpE', 'atpF', 'atpB', 'atpFH']"
amantadine,"['GRIN2D', 'GRIN1', 'GRIN2B', 'GRIN3B', 'GRIN2A', 'M', 'GRIN3A', 'GRIN2C']"
doripenem,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
cefaclor,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
imipenem,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
cefadroxil,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
ertapenem,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
piperacillin,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
cefazolin,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
cefdinir,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
cefepime,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
cefixime,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
cefotaxime,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
cefotetan,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
ceftazidime,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
ceftibuten,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
ceftizoxime,"['dacB', 'mrcB', 'mrcA', 'mrdA', 'ftsI', 'dacC', 'dacA']"
