Drug,Targets
cisplatin,"['ABL1', 'CD44', 'GSTA1', 'SIRT3', 'XRCC1', 'TP53', 'CASP3', 'GSTP1', 'PARP1', 'ATM', 'JUN', 'CHEK2', 'XPA', 'EGFR', 'ERCC1', 'FANCD2', 'MGMT', 'SIRT1', 'MTOR']"
adenosine,"['ADRB2', 'CASP3', 'TMIGD3', 'AHCYL1', 'CXCL8', 'NT5E', 'AHCY', 'NT5C2', 'PNP', 'AHCYL2', 'ADORA2B', 'CXCR4', 'GCG', 'ADRB1', 'P2RY1', 'OXGR1', 'ADA', 'ADRB3']"
nicotine,"['PTGS2', 'CYP2A6', 'CHRNB3', 'CHRNA6', 'CHRNB2', 'CHRNA4', 'SLC6A3', 'CYP2A13', 'CHRNA2', 'CHRNA7', 'IL10', 'FOS', 'TH', 'CHRFAM7A', 'CHAT', 'CHRNA3', 'CHRNA5', 'CHRNB4']"
risperidone,"['DRD2', 'ADRA1B', 'HTR6', 'HTR2B', 'HRH1', 'ADRA1D', 'ADRA2C', 'HTR1A', 'DRD3', 'DRD4', 'ADRA2A', 'HTR2C', 'ADRA1A', 'DRD5', 'PRL', 'HTR1B', 'HTR7']"
olanzapine,"['DRD2', 'CHRM1', 'HTR6', 'HTR2B', 'HRH1', 'CHRM3', 'DRD3', 'DRD4', 'HRH2', 'DRD5', 'HTR2C', 'HTR3A', 'CHRM5', 'PRL', 'CHRM4', 'CYP1A2', 'HTR7']"
testosterone,"['CYP11A1', 'HSD3B1', 'SHBG', 'CYP2A6', 'HSD17B3', 'AKR1C2', 'IGFBP3', 'CYP3A7', 'NGF', 'AKR1C3', 'NR3C1', 'AKR1D1', 'CYP17A1', 'PRL', 'CYP3A43', 'AR']"
imatinib,"['CASP3', 'CSF1R', 'BCL2L11', 'FIP1L1', 'ABL1', 'RET', 'NUP214', 'PDGFRA', 'ETV6', 'KIT', 'BCR', 'MCL1', 'PDGFRB', 'SYK', 'ABL2']"
cocaine,"['DRD2', 'FOSB', 'PPP1R1B', 'SLC6A3', 'CREB1', 'BDNF', 'SLC6A4', 'FOS', 'SLC6A2', 'OPRM1', 'TH', 'EGR1', 'GRIN1', 'GRM5', 'BCHE']"
paclitaxel,"['CASP3', 'EGFR', 'CDK1', 'CYP2C8', 'CFLAR', 'CYCS', 'ABCC10', 'MAPT', 'NR1I2', 'STAT3', 'CASP7', 'JUN', 'CCNB1', 'TP53']"
thioridazine,"['DRD2', 'ADRA1B', 'CHRM1', 'HTR6', 'HRH1', 'HTR1A', 'DRD3', 'DRD5', 'HTR2C', 'ADRA1A', 'CHRM5', 'CHRM4', 'KCNH2', 'HTR7']"
amitriptyline,"['ADRA1B', 'CHRM1', 'HRH1', 'ADRA1D', 'CHRM3', 'HTR1A', 'HTR2C', 'SLC6A4', 'SLC6A2', 'ADRA1A', 'CHRM5', 'CHRM4', 'KCNA1']"
nitric oxide,"['CASP3', 'HMOX1', 'CXCL10', 'GUCY2C', 'GUCY2D', 'IL1B', 'NOS3', 'GUCY2F', 'CAV1', 'EDN1', 'NPR1', 'NOS2', 'TP53']"
simvastatin,"['MMP9', 'SERPINE1', 'COG2', 'NOS3', 'RHOA', 'HMGCR', 'CCL2', 'BMP2', 'LDLR', 'EDN1', 'RAC1', 'APOB', 'F2']"
sorafenib,"['MAPK1', 'KDR', 'ABL1', 'RET', 'FLT4', 'PDGFRA', 'FLT1', 'FLT3', 'KIT', 'STAT3', 'MCL1', 'PDGFRB', 'EIF2AK3']"
tamoxifen,"['SHBG', 'EBP', 'ERBB2', 'PRKCA', 'PGR', 'ESR2', 'NCOA3', 'CYP2C9', 'ERBB3', 'PRL', 'CCND1', 'TGFB1']"
bromocriptine,"['DRD2', 'ADRA1B', 'HTR6', 'HTR2B', 'ADRA1D', 'HTR1A', 'DRD3', 'HTR2C', 'GAL', 'ADRA1A', 'PRL', 'ADRA2A']"
cholic acid,"['MT-CO1', 'PLA2G1B', 'COX5A', 'COX6A2', 'CES1', 'COX7A1', 'CYP7A1', 'FABP6', 'MT-CO3', 'MT-CO2', 'COX5B', 'SLC10A2']"
haloperidol,"['DRD2', 'ADRA1B', 'SIGMAR1', 'HTR1A', 'DRD3', 'DRD4', 'HTR2C', 'FOS', 'TH', 'ADRA1A', 'DRD5', 'PRL']"
doxorubicin,"['CASP3', 'EGFR', 'ABCC1', 'FOXO3', 'MYCN', 'TOP2A', 'HIPK2', 'HSPB1', 'PLAU', 'TP53', 'ATM', 'PTEN']"
tacrolimus,"['FKBP3', 'CYP3A5', 'NFATC2', 'PPP3CA', 'IL2', 'IL2RA', 'FASLG', 'IL10', 'FKBP4', 'PPP3R1', 'FKBP1C', 'PPP3CB']"
ergotamine,"['HTR5A', 'DRD2', 'HTR6', 'HTR2B', 'HTR1F', 'HTR1B', 'ADRA1D', 'HTR1A', 'HTR1E', 'HTR2C', 'ADRA2A']"
choline,"['BCHE', 'SLC18A3', 'CHDH', 'ACHE', 'SLC5A7', 'SLC44A1', 'PLD1', 'CHKB', 'CHAT', 'PLD2', 'CHKA']"
imipramine,"['DRD2', 'ADRA1B', 'HRH1', 'ADRA1D', 'HTR1A', 'SLC6A3', 'HTR2C', 'SLC6A4', 'SLC6A2', 'ADRA1A', 'KCNH2']"
amiloride,"['SCNN1B', 'SCNN1G', 'SLC9A1', 'ASIC2', 'ASIC1', 'SLC9A2', 'REN', 'SCNN1A', 'SCNN1D', 'PLAU', 'SLC9A3']"
sunitinib,"['CSF1R', 'KDR', 'AXL', 'FLT4', 'PDGFRA', 'FLT1', 'RPS6KB1', 'FLT3', 'KIT', 'PDGFRB', 'PTEN']"
asenapine,"['HTR6', 'HRH1', 'DRD3', 'HTR1A', 'DRD4', 'HRH2', 'HTR2C', 'ADRA1A', 'HTR1B', 'HTR7']"
doxepin,"['ADRA1B', 'CHRM1', 'HRH1', 'ADRA1D', 'CHRM3', 'HTR2C', 'SLC6A4', 'ADRA1A', 'CHRM5', 'CHRM4']"
ziprasidone,"['DRD2', 'ADRA1B', 'HRH1', 'HTR1A', 'DRD3', 'DRD4', 'HTR2C', 'ADRA1A', 'HTR1B', 'HTR7']"
pioglitazone,"['PPARG', 'PTGS2', 'CYP2C8', 'TNF', 'FABP4', 'KLF4', 'LEP', 'CCL2', 'CRP', 'NOS2']"
heparin,"['FGF2', 'PF4', 'FN1', 'SERPINC1', 'PPBP', 'PLAT', 'F10', 'SERPIND1', 'PLG', 'F2']"
atorvastatin,"['SERPINE1', 'APOE', 'SLCO1B1', 'NOS3', 'CRP', 'RHOA', 'HMGCR', 'VCAM1', 'APOB', 'CD40LG']"
nortriptyline,"['ADRA1B', 'CHRM1', 'HRH1', 'ADRA1D', 'HTR2C', 'SLC6A4', 'SLC6A2', 'ADRA1A', 'CHRM5', 'CHRM4']"
chlorpromazine,"['DRD2', 'ADRA1B', 'HTR6', 'HRH1', 'DRD3', 'DRD4', 'HTR2C', 'ADRA1A', 'DRD5', 'HTR7']"
desipramine,"['HRH1', 'HTR1A', 'SLC6A3', 'SLC6A4', 'SLC6A2', 'TH', 'ADRA1A', 'ADRB1', 'KCNH2']"
iloperidone,"['DRD2', 'HTR6', 'ADRA2C', 'DRD3', 'DRD4', 'HTR2C', 'ADRA1A', 'ADRA2A', 'HTR7']"
losartan,"['SERPINE1', 'ALB', 'AGT', 'REN', 'TBXA2R', 'CYP2C9', 'EDN1', 'AGTR2', 'TGFB1']"
fenofibrate,"['ABCD2', 'ABCD3', 'SERPINE1', 'SREBF2', 'SREBF1', 'VCAM1', 'CCL2', 'CRP', 'ABCD4']"
propranolol,"['ADRB2', 'REN', 'HTR1A', 'CYP1A2', 'DBH', 'ADRB1', 'KCNH2', 'HTR1B', 'ADRB3']"
ticlopidine,"['CYP2C19', 'ADAMTS13', 'ITGA2B', 'PPBP', 'P2RY12', 'P2RY1', 'CYP2B6', 'VWF']"
metformin,"['SLC47A1', 'PLAT', 'SLC47A2', 'LEP', 'SLC22A1', 'CYP17A1', 'SLC2A4', 'IRS1']"
aripiprazole,"['DRD2', 'HTR6', 'HTR2B', 'DRD3', 'HTR1A', 'DRD4', 'HTR2C', 'HTR7']"
phenobarbital,"['CYP2A6', 'CYP2C8', 'CYP2A13', 'NR1I2', 'CYP2C9', 'CYP2A7', 'CYP2B6', 'CYP1A2']"
decitabine,"['DNMT1', 'CTAG1B', 'MAGEA1', 'MGMT', 'RASSF1', 'MLH1', 'RARB', 'TP53']"
acetazolamide,"['CA3', 'AQP1', 'CA2', 'CA4', 'CA7', 'CA14', 'CA12', 'CA9']"
dihydroergotamine,"['DRD2', 'HTR2B', 'HTR1F', 'HTR1B', 'HTR1A', 'ADRA2A', 'HTR7']"
clonidine,"['ADRA1B', 'DBH', 'ADRA2C', 'ADRA1D', 'REN', 'ADRA1A', 'ADRA2A']"
cyproheptadine,"['CHRM1', 'HTR2B', 'HRH1', 'CHRM3', 'HTR1A', 'HTR2C', 'HTR7']"
bosutinib,"['MAP2K1', 'ABL1', 'LYN', 'BLK', 'MAP2K2', 'HCK', 'ABL2']"
calcitriol,"['CYP27B1', 'CASP3', 'FGF23', 'EGFR', 'CYP24A1', 'REN', 'BGLAP']"
caffeine,"['RYR1', 'REN', 'ITPR1', 'TP53', 'ATM', 'RYR2', 'CYP1A2']"
warfarin,"['ALB', 'VKORC1', 'F7', 'CYP2C9', 'PROS1', 'F3', 'F2']"
oxymetazoline,"['ADRA1B', 'ADRA2C', 'ADRA1D', 'ADRA2A', 'HTR1E', 'ADRA1A', 'HTR1B']"
cyclosporine,"['NFATC2', 'PPP3CA', 'PPIA', 'IL2', 'REN', 'FASLG', 'PPP3CB']"
lovastatin,"['CASP3', 'SREBF2', 'ITGAL', 'HMGCR', 'CYP2C9', 'LDLR', 'APOB']"
fluvastatin,"['NOS3', 'RHOA', 'HMGCR', 'CYP2C9', 'APOB', 'ICAM1']"
atropine,"['CHRM1', 'CHRM3', 'ACHE', 'CHRM5', 'CHRM4', 'BCHE']"
pravastatin,"['SLCO1B1', 'NOS3', 'HMGCR', 'APOB', 'CRP', 'SELP']"
clopidogrel,"['CYP2C19', 'CRP', 'P2RY12', 'P2RY1', 'CD40LG', 'CYP2B6']"
pazopanib,"['KDR', 'FLT4', 'PDGFRA', 'FLT1', 'KIT', 'PDGFRB']"
amphetamine,"['TAAR1', 'SLC6A3', 'SLC6A4', 'FOS', 'SLC6A2', 'TH']"
apomorphine,"['DRD2', 'DRD4', 'DRD3', 'HTR2C', 'TH', 'DRD5']"
morphine,"['OPRD1', 'UGT2B7', 'FOS', 'TH', 'OPRM1', 'PRKCG']"
sulindac,"['PTGS2', 'AKR1C2', 'AKR1B1', 'AKR1C3', 'PTGS1', 'IKBKB']"
fluoxetine,"['HTR1A', 'HTR2C', 'SLC6A4', 'BDNF', 'NR3C1', 'HTR1B']"
loxapine,"['DRD2', 'HTR6', 'DRD4', 'DRD3', 'HTR2C', 'HTR7']"
benzoic acid,"['RIDA', 'PRDX5', 'CES1', 'ACSM2B', 'ACSM1', 'DAO']"
capsaicin,"['CASP3', 'CXCL8', 'TRPV1', 'TAC1', 'FOS', 'ENOX2']"
carvedilol,"['ADRB2', 'ADRA1D', 'ADRA2C', 'ADRB1', 'ADRA2A', 'ADRB3']"
gemcitabine,"['CASP3', 'EGFR', 'DCTD', 'RRM2', 'RRM1', 'DCK']"
scopolamine,"['CHRM1', 'CHRM3', 'ACHE', 'CHRM5', 'CHRM4', 'BCHE']"
octreotide,"['SST', 'SSTR1', 'SSTR4', 'SSTR5', 'SSTR2']"
etoposide,"['CASP3', 'CYCS', 'TOP2A', 'FASLG', 'TP53']"
gemfibrozil,"['SERPINE1', 'CYP2C8', 'CYP2C9', 'APOB', 'APOA1']"
desmopressin,"['AQP2', 'AVPR1B', 'AVPR1A', 'SELP', 'VWF']"
leucovorin,"['DHFR', 'TYMS', 'MTHFS', 'AMT', 'SLC19A1']"
montelukast,"['ALOX5', 'IL4', 'CYSLTR1', 'CYP2C8', 'IL5']"
pergolide,"['DRD2', 'DRD3', 'DRD4', 'HTR1A', 'HTR2C']"
promethazine,"['CHRM1', 'HRH1', 'CHRM3', 'CHRM5', 'CHRM4']"
phentolamine,"['ADRA1B', 'ADRA2C', 'ADRA1D', 'ADRA1A', 'ADRA2A']"
ponatinib,"['KDR', 'ABL1', 'RET', 'FLT3', 'KIT']"
sumatriptan,"['HTR1F', 'HTR1A', 'HTR1E', 'HTR1B', 'HTR7']"
prazosin,"['ADRA1B', 'ADRA2C', 'ADRA1D', 'ADRA1A', 'ADRA2A']"
metoclopramide,"['DRD2', 'DRD3', 'HTR4', 'HTR3A', 'PRL']"
probenecid,"['SLC22A11', 'SLC22A12', 'PANX1', 'SLC22A8', 'SLC22A6']"
alitretinoin,"['RXRG', 'PPARG', 'RXRA', 'RARB', 'RARA']"
citalopram,"['CYP2C19', 'SLC6A3', 'HTR2C', 'SLC6A4', 'SLC6A2']"
captopril,"['AGT', 'LTA4H', 'ACE', 'REN', 'MMP2']"
clomipramine,"['HTR2C', 'SLC6A4', 'SLC6A2', 'ADRA1A', 'CYP1A2']"
vorinostat,"['HDAC3', 'HDAC1', 'HDAC8', 'HDAC2', 'TP53']"
amoxapine,"['HTR6', 'HTR2B', 'DRD4', 'HTR2C', 'SLC6A2']"
celecoxib,"['CASP3', 'PTGS2', 'CYP2C9', 'PTGS1', 'TP53']"
methotrexate,"['TYMS', 'DHFR', 'GGH', 'SLC19A1']"
riluzole,"['KCNK2', 'BDNF', 'GDNF', 'NGF']"
methazolamide,"['CA9', 'CA4', 'CA7', 'CA2']"
methimazole,"['FMO1', 'FMO2', 'TG', 'FMO3']"
methylphenidate,"['SLC6A2', 'SLC6A4', 'DRD4', 'SLC6A3']"
chloroquine,"['TLR9', 'TNF', 'ATM', 'H0Y858_HUMAN']"
mifepristone,"['PGR', 'PRL', 'AR', 'NR3C1']"
mirtazapine,"['HRH1', 'HTR2C', 'HTR1A', 'HTR3A']"
fluvoxamine,"['CYP2C19', 'SLC6A4', 'CYP2C9', 'CYP1A2']"
doxazosin,"['ADRA1B', 'REN', 'ADRA1D', 'ADRA1A']"
varenicline,"['CHRNB2', 'CHRNA3', 'CHRNA4', 'CHRNA6']"
levodopa,"['GAD1', 'TH', 'COMT', 'TYR']"
erlotinib,"['EGFR', 'EGF', 'STAT3', 'SLK']"
disulfiram,"['ALDH2', 'ALDH1A1', 'ALDH3A2', 'DBH']"
escitalopram,"['CYP2C19', 'SLC6A4', 'SLC6A2', 'SLC6A3']"
rosuvastatin,"['APOB', 'HMGCR', 'CRP', 'NOS3']"
lapatinib,"['ERBB3', 'EGFR', 'ERBB4', 'ERBB2']"
vandetanib,"['EGFR', 'ABL1', 'KDR', 'RET']"
iloprost,"['PTGER4', 'PTGIR', 'PTGER3', 'PTGER1']"
ibuprofen,"['ALOX5', 'PTGS1', 'PTGS2', 'ALB']"
hyoscyamine,"['CHRM5', 'CHRM1', 'CHRM3', 'CHRM4']"
bumetanide,"['SLC12A5', 'CFTR', 'SLC12A2', 'REN']"
gefitinib,"['ERBB3', 'CASP3', 'EGFR', 'ERBB2']"
fulvestrant,"['PGR', 'ESR2', 'TFF1', 'AR']"
spironolactone,"['PGR', 'REN', 'AR', 'NR3C1']"
tiotropium,"['CHRM5', 'CHRM1', 'CHRM3', 'CHRM4']"
trihexyphenidyl,"['CHRM5', 'CHRM1', 'CHRM3', 'CHRM4']"
diphenhydramine,"['HRH1', 'CHRM1', 'CHRM4', 'HNMT']"
tolterodine,"['CHRM5', 'CHRM1', 'CHRM3', 'CHRM4']"
aclidinium,"['CHRM5', 'CHRM1', 'CHRM3', 'CHRM4']"
cytarabine,"['NT5C3B', 'CDA', 'DCK', 'UCK2']"
pindolol,"['ADRB1', 'ADRB2', 'HTR1A', 'HTR1B']"
pimozide,"['DRD2', 'KCNH2', 'DRD3', 'HTR7']"
darifenacin,"['CHRM5', 'CHRM1', 'CHRM3', 'CHRM4']"
colchicine,"['TUBB', 'CHAT', 'GAL', 'TUBB4B']"
phenytoin,"['CYP2C19', 'CYP2C9', 'CYP2C18', 'CYP2A13']"
paliperidone,"['HTR2C', 'DRD2', 'DRD4', 'DRD3']"
quetiapine,"['DRD3', 'DRD2', 'HRH1', 'HTR1A']"
diazepam,"['CYP2C19', 'GABRG1', 'GABRG2', 'ALB']"
perphenazine,"['HTR2C', 'HTR6', 'DRD2', 'DRD3']"
omeprazole,"['CYP2C19', 'ATP4A', 'ATP12A', 'CYP1A2']"
nintedanib,"['ABL1', 'KDR', 'FLT3', 'PDGFRB']"
niacin,"['PNP', 'NAPRT', 'HCAR2', 'HCAR3']"
nilotinib,"['ABL1', 'PDGFRB', 'KIT', 'ABL2']"
nefazodone,"['HTR2C', 'SLC6A4', 'SLC6A2', 'HTR1A']"
pramipexole,"['DRD4', 'DRD2', 'DRD3']"
furosemide,"['SLC12A2', 'REN', 'ALB']"
rasagiline,"['MAOB', 'GDNF', 'MAOA']"
prochlorperazine,"['HRH1', 'DRD2', 'DRD3']"
buspirone,"['DRD2', 'HTR1A', 'PRL']"
irinotecan,"['TOP1', 'CES1', 'TP53']"
budesonide,"['CSF2', 'NR3C1', 'ICAM1']"
sertraline,"['CYP2C19', 'SLC6A4', 'SLC6A3']"
atenolol,"['ADRB1', 'ADRB2', 'REN']"
selenium,"['SELENOS', 'AR', 'GPX4']"
atomoxetine,"['SLC6A4', 'SLC6A2', 'SLC6A3']"
modafinil,"['HCRT', 'CYP2C19', 'SLC6A3']"
selegiline,"['MAOB', 'TH', 'MAOA']"
afatinib,"['EGFR', 'ERBB4', 'ERBB2']"
salmeterol,"['ADRB1', 'ADRB2', 'ADRB3']"
miglustat,"['UGCG', 'GBA2', 'GBA']"
lanreotide,"['SSTR5', 'SSTR4', 'SSTR2']"
oxybutynin,"['CHRM4', 'CHRM1', 'CHRM3']"
methadone,"['OPRD1', 'CYP2B6', 'OPRM1']"
axitinib,"['KDR', 'FLT1', 'PDGFRB']"
verapamil,"['CYP2C8', 'REN', 'CACNA1C']"
venlafaxine,"['SLC6A4', 'SLC6A2', 'SLC6A3']"
paroxetine,"['SLC6A4', 'SLC6A2', 'SLC6A3']"
allopurinol,"['AOX1', 'HPRT1', 'XDH']"
pentazocine,"['OPRD1', 'SIGMAR1', 'OPRM1']"
acarbose,"['MGAM', 'SI', 'GAA']"
raloxifene,"['PGR', 'ESR2', 'AOX1']"
bexarotene,"['RXRG', 'RXRA', 'PPARG']"
alfuzosin,"['ADRA1B', 'ADRA1D', 'ADRA1A']"
latanoprost,"['MMP3', 'PTGFR', 'TYR']"
phenylephrine,"['ADRA1B', 'ADRA1D', 'ADRA1A']"
lansoprazole,"['CYP2C19', 'ATP4A', 'CYP2C9']"
formoterol,"['ADRB1', 'ADRB2', 'ADRB3']"
crizotinib,"['ROS1', 'MET', 'ALK']"
dextromethorphan,"['SLC6A4', 'SIGMAR1', 'OPRM1']"
tamsulosin,"['ADRA1B', 'ADRA1D', 'ADRA1A']"
deferoxamine,"['SLC11A2', 'ACO1', 'TP53']"
thalidomide,"['FGF2', 'CRBN', 'TNF']"
trazodone,"['HTR2C', 'SLC6A4', 'HTR1A']"
enalaprilat,"['ACE', 'REN', 'AGT']"
terazosin,"['ADRA1B', 'ADRA1D', 'ADRA1A']"
thiothixene,"['HRH1', 'DRD2', 'DRD3']"
duloxetine,"['SLC6A4', 'SLC6A2', 'SLC6A3']"
tazarotene,"['RARB', 'PLAAT4', 'RARRES1']"
trifluoperazine,"['DRD2', 'TNNC1', 'DRD3']"
flurbiprofen,"['PTGS1', 'PTGS2', 'CYP2C9']"
tolbutamide,"['KCNJ11', 'CYP2C8', 'CYP2C9']"
cysteamine,"['ADO', 'SST', 'VNN1']"
tofacitinib,"['JAK2', 'STAT3']"
memantine,"['GRIN3A', 'GRIN2A']"
metoprolol,"['ADRB1', 'ADRB2']"
pemetrexed,"['TYMS', 'DHFR']"
edrophonium,"['ACHE', 'BCHE']"
candesartan,"['SERPINE1', 'REN']"
trimethoprim,"['TYMS', 'DHFR']"
amlodipine,"['REN', 'CACNA1C']"
enalapril,"['ACE', 'REN']"
entacapone,"['COMT', 'LRTOMT']"
menthol,"['TRPM8', 'TRPA1']"
pyrimethamine,"['TYMS', 'DHFR']"
meloxicam,"['PTGS1', 'PTGS2']"
pentostatin,"['ADA', 'DCK']"
maprotiline,"['HRH1', 'SLC6A2']"
thiamine,"['TPK1', 'SLC19A2']"
pentoxifylline,"['TNF', 'ICAM1']"
theophylline,"['SST', 'CYP1A2']"
baclofen,"['GABBR1', 'GABBR2']"
olopatadine,"['HRH1', 'CCL17']"
aliskiren,"['REN', 'AGT']"
loratadine,"['HRH1', 'KCNA5']"
loperamide,"['OPRD1', 'OPRM1']"
mexiletine,"['SCN5A', 'PLAU']"
apraclonidine,"['ADRA2C', 'ADRA2A']"
nilutamide,"['AR', 'KLK3']"
ramelteon,"['MTNR1A', 'MTNR1B']"
tirofiban,"['ITGA2B', 'SELP']"
nifedipine,"['CACNA1D', 'CACNA1C']"
vilazodone,"['SLC6A4', 'HTR1A']"
oxymorphone,"['OPRD1', 'OPRM1']"
neostigmine,"['ACHE', 'BCHE']"
diltiazem,"['EDN1', 'CACNA1C']"
nebivolol,"['ADRB1', 'NOS3']"
donepezil,"['ACHE', 'BCHE']"
naltrexone,"['OPRD1', 'OPRM1']"
naloxone,"['OPRD1', 'OPRM1']"
vinblastine,"['ABCB4', 'JUN']"
ramipril,"['ACE', 'REN']"
milnacipran,"['SLC6A4', 'SLC6A2']"
nitroprusside,"['NPR1', 'REN']"
palbociclib,"['CDK6', 'CDK4']"
mycophenolic acid,"['IMPDH1', 'IMPDH2']"
dorzolamide,"['CA4', 'CA2']"
timolol,"['ADRB1', 'ADRB2']"
ciprofloxacin,"['TOP2A', 'CYP1A2']"
regorafenib,"['KDR', 'FLT4']"
orlistat,"['FASN', 'PNLIP']"
dexmedetomidine,"['ADRA2C', 'ADRA2A']"
minocycline,"['MMP9', 'CASP3']"
milrinone,"['PDE3B', 'PDE3A']"
lisinopril,"['ACE', 'REN']"
cangrelor,"['P2RY12', 'P2RY1']"
trametinib,"['MAP2K2', 'MAP2K1']"
bupropion,"['CYP2B6', 'SLC6A3']"
levorphanol,"['OPRD1', 'OPRM1']"
tranexamic acid,"['PLAT', 'PLG']"
brimonidine,"['ADRA2C', 'ADRA2A']"
brinzolamide,"['CA4', 'CA2']"
icatibant,"['BDKRB1', 'ANPEP']"
fentanyl,"['OPRD1', 'OPRM1']"
danazol,"['PGR', 'SERPING1']"
fingolimod,"['S1PR5', 'S1PR1']"
sildenafil,"['PDE5A', 'PRKG1']"
pralidoxime,"['ACHE', 'BCHE']"
hydrochlorothiazide,"['REN', 'CA2']"
