Drug,Targets
fludrocortisone,"['AR', 'MR']"
bivalirudin,"['F2', 'Trypano TPR']"
flecainide,"['SCN11A', 'RFWD2']"
bosutinib,"['SRC', 'ABL']"
dinoprostone,"['PTGER2', 'PTGFR']"
apremilast,"['CDK4', 'CDK6']"
ziprasidone,"['CHRNA7', 'D2R']"
vilazodone,"['SERT', 'HTR1A']"
alprostadil,"['TBXA2R', 'PTGER2']"
trihexyphenidyl,"['CHRM1', 'ADRB3']"
trazodone,"['SERT', 'HTR1A']"
venlafaxine,"['SERT', 'NET']"
zidovudine,"['HIV RT', 'FLT-3']"
tolbutamide,"['ABCC9', 'ABCC8']"
aminocaproic acid,"['PLG', 'PLAT']"
tranylcypromine,"['MAO-A', 'MAO-B']"
bendroflumethiazide,"['SLC12A1', 'SLC12A3']"
zolmitriptan,"['HTR1D', 'HTR1B']"
amitriptyline,"['SERT', 'NET']"
omalizumab,['FCERG']
ofloxacin,['Bact gyrase']
olanzapine,['D2R']
olopatadine,['H1R']
oxaprozin,['COX']
oxandrolone,['AR']
ospemifene,['ESR']
omeprazole,['+']
valrubicin,['TOP2']
valsartan,['AGTR1']
osimertinib,['EGFR']
valdecoxib,['COX-2']
oseltamivir,['Influ NA']
tirofiban,['GPIIb/IIIa']
ofatumumab,['CD20']
octreotide,['SSTR2']
obinutuzumab,['CD20']
oxazepam,['TSPO']
obeticholic acid,['FXR']
nortriptyline,['SERT']
norgestimate,['PGR']
nizatidine,['H2R']
nitroprusside,['ITPR']
vardenafil,['PDE5A']
varenicline,['CHRNA4/B2']
nitric oxide,['GCS']
nitisinone,['HPD']
nilutamide,['AR']
vecuronium,['CHRNA2']
trovafloxacin,['Bact gyrase']
tropicamide,['CHRM4']
oxcarbazepine,['SCN11A']
oxybenzone,['LIPE']
pemetrexed,['Candi TMP1']
penicillamine,['HIV tat']
pentamidine,['Tryptase']
pentobarbital,['A']
pentostatin,['ADA']
pentoxifylline,['TNF']
trimipramine,['NET']
perindopril,['ACE']
perphenazine,['D2R']
pertuzumab,['HER2']
phendimetrazine,['ADRA1B']
phenelzine,['MAO-B']
pheniramine,['H1R']
trimetrexate,['PDF']
phentermine,['NET']
pegvisomant,['GHR']
peginterferon alfa-2b,['IFNA2']
peginterferon alfa-2a,['IFNA2']
palonosetron,['HTR3A']
trospium,['CHRM5']
velaglucerase alfa,['GBA']
oxytetracycline,['Stap-coc pbp2']
triptorelin,['GNRHR']
palifermin,['FGFR2']
palivizumab,['RSV F']
panitumumab,['EGFR']
pegfilgrastim,['G-CSF-R']
panobinostat,['HDAC1']
pantoprazole,['+']
paricalcitol,['VDR']
paroxetine,['SERT']
triprolidine,['H1R']
pegaptanib,['NRP1']
nilotinib,['Bcr-Abl']
neostigmine,['AChE']
nevirapine,['HIV RT']
micafungin,['Fung GSC2']
warfarin,['VKORC1']
vorinostat,['HDAC1']
methoxsalen,['CYP2A6']
voriconazole,['Candi ERG11']
methoxy polyethylene glycol-epoetin beta,['EPOR']
methsuximide,['CACNA1G']
methyclothiazide,['SLC12A1']
methyldopa,['D2R']
methylphenidate,['DAT']
methylprednisolone,['NR3C1']
metipranolol,['ADRB1']
metoclopramide,['D2R']
metolazone,['SLC12A3']
metoprolol,['ADRB1']
metyrosine,['TH']
methohexital,['A']
zafirlukast,['CYSLTR1']
methimazole,['TPO']
meclofenamic acid,['COX']
lovastatin,['HMGCR']
loxapine,['D2R']
lubiprostone,['CLC-2']
lumefantrine,['ATP1A1']
maprotiline,['NET']
mecasermin,['IGF1R']
mefenamic acid,['COX-2']
methazolamide,['CA-I']
zileuton,['5-LOX']
meloxicam,['COX-2']
ziconotide,['CACNA1B']
zanamivir,['Influ NA']
mestranol,['ESR']
zaleplon,['A']
mexiletine,['SCN5A']
miconazole,['Candi ERG11']
netupitant,['TACR1']
midazolam,['TSPO']
vigabatrin,['ABAT']
verapamil,['CACNA1G']
nabumetone,['COX-2']
nadolol,['ADRB1']
nafarelin,['GNRHR']
naftifine,['SQLE']
vemurafenib,['BRAF']
nalbuphine,['OPRK1']
naloxone,['MOP']
naphazoline,['D2R']
naratriptan,['HTR1B']
nebivolol,['ADRB1']
nefazodone,['HTR2C']
phenylephrine,['D2R']
nepafenac,['COX']
morphine,['MOP']
montelukast,['CYSLTR1']
mometasone,['NR3C1']
mirtazapine,['HTR2C']
mifepristone,['NR3C1']
miglustat,['UGCG']
milnacipran,['NET']
miltefosine,['PLA2G1B']
minocycline,['Stap-coc pbp2']
mirabegron,['ADRB3']
misoprostol,['PTGIR']
molindone,['D2R']
mitotane,['ESR']
mitoxantrone,['TOP2']
vismodegib,['SMO']
mivacurium,['CHRNA2']
vinblastine,['TUBB2']
modafinil,['DAT']
phentolamine,['D2R']
pimozide,['D2R']
pilocarpine,['CHRM5']
sertraline,['SERT']
simvastatin,['HMGCR']
sirolimus,['mTOR']
sitagliptin,['DPP-4']
solifenacin,['CHRM3']
tolterodine,['CHRM3']
sotalol,['ADRB1']
spironolactone,['MR']
stavudine,['HIV RT']
streptomycin,['Stap-coc pbp2']
succinylcholine,['CHRM3']
sucralfate,['FGF2']
sulfadiazine,['Bact folP']
sulfamethizole,['Bact folP']
sulfamethoxazole,['Bact folP']
tolmetin,['COX-2']
simeprevir,['HCV NS3/4A']
tolvaptan,['V2R']
tramadol,['HTR2C']
topiramate,['GRIK1']
rivaroxaban,['F10']
rivastigmine,['AChE']
rizatriptan,['HTR1D']
rocuronium,['CHRNA2']
romidepsin,['HDAC1']
toremifene,['ESR']
ropivacaine,['SCN10A']
rosuvastatin,['HMGCR']
topotecan,['TOP1']
safinamide,['MAO-B']
salmeterol,['ADRB2']
salsalate,['COX-1']
saquinavir,['HIV PR']
saxagliptin,['DPP-4']
secobarbital,['A']
sulfisoxazole,['Bact folP']
sulindac,['AKR1B1']
sumatriptan,['HTR1D']
sunitinib,['KDR']
tofacitinib,['JAK-3']
teriparatide,['PTH']
tesamorelin,['GHRHR']
testosterone,['AR']
tetrabenazine,['SLC18A2']
tetracaine,['SCN10A']
tetracycline,['Stap-coc pbp2']
tocilizumab,['IL6R']
thalidomide,['TNF']
thioridazine,['D2R']
thiothixene,['D2R']
tiagabine,['SLC6A1']
ticlopidine,['PTAFR']
timolol,['ADRB1']
tiotropium,['CHRM3']
terbutaline,['ADRB2']
terbinafine,['Candi ERG1']
terazosin,['ADRA1D']
teduglutide,['GLP2R']
tacrolimus,['PPP3CA']
tadalafil,['PDE5A']
tamoxifen,['ESR']
tamsulosin,['ADRA1A']
tazarotene,['RARG']
tazobactam,['Stap-coc blaZ']
tolcapone,['COMT']
tenofovir,['HIV RT']
telmisartan,['AGTR1']
temazepam,['TSPO']
temsirolimus,['mTOR']
tenecteplase,['PLG']
teniposide,['TOP2']
tolazamide,['KCNJ10']
rituximab,['CD20']
ritonavir,['HIV PR']
pimavanserin,['HTR2A']
pravastatin,['HMGCR']
trifluoperazine,['CALM']
prednisolone,['NR3C1']
prednisone,['NR3C1']
pregabalin,['CACNA2D1']
prilocaine,['SCN5A']
primidone,['A']
probenecid,['SLC22A8']
procainamide,['RFWD2']
procaine,['HTR3A']
prochlorperazine,['D2R']
progesterone,['PGR']
proguanil,['PDF']
promethazine,['H1R']
propafenone,['RFWD2']
propantheline,['CHRM1']
prednicarbate,['ESRR']
prasugrel,['P2RY12']
risperidone,['D2R']
trifluridine,['Candi TMP1']
pimecrolimus,['PPP3CA']
tipranavir,['HIV PR']
pindolol,['ADRB1']
pioglitazone,['PPAR-gamma']
pirfenidone,['TGFB1']
piroxicam,['COX-1']
plerixafor,['CXCR4']
podofilox,['TOP2']
polythiazide,['SLC12A3']
trimethoprim,['DHFR']
trimethadione,['CACNA1G']
posaconazole,['Candi ERG11']
potassium chloride,['SLC12A1']
pralatrexate,['PDF']
pramlintide,['GLP1R']
triclosan,['Malaria fabI']
lorcaserin,['HTR2C']
propranolol,['ADRB1']
triazolam,['TSPO']
ranitidine,['H2R']
ranolazine,['PLG']
rasagiline,['MAO-B']
regadenoson,['ADORA2A']
travoprost,['PTGFR']
remifentanil,['MOP']
trastuzumab,['HER2']
reserpine,['SLC18A2']
reteplase,['PLG']
ribavirin,['IMPDH1']
rilonacept,['IL1B']
riluzole,['SCN11A']
rimexolone,['ESRRA']
tranexamic acid,['PLG']
trandolapril,['ACE']
ramipril,['ACE']
treprostinil,['PTGIR']
raltegravir,['HIV IN']
quazepam,['TSPO']
triamterene,['ENaC']
protirelin,['TRHR']
protriptyline,['NET']
pseudoephedrine,['D2R']
pyrazinamide,['Bact inhA']
pyrimethamine,['FOLR1']
triamcinolone,['NR3C1']
raloxifene,['ESR']
quetiapine,['D2R']
quinapril,['ACE']
quinine,['RFWD2']
tretinoin,['RARG']
quinupristin,['Bact lmrP']
rabeprazole,['+']
losartan,['AGTR1']
abacavir,['HIV RT']
lorazepam,['TSPO']
celecoxib,['COX-2']
cetirizine,['H1R']
cetrorelix,['GNRHR']
cetuximab,['EGFR']
cevimeline,['CHRM3']
chlordiazepoxide,['TSPO']
chlorhexidine,['Bact folP']
chloroprocaine,['ATP1A1']
chloroquine,['ACKR1']
chlorothiazide,['CA-II']
chlorpromazine,['D2R']
chlorpropamide,['KCNJ10']
chlorthalidone,['SLC12A1']
cholecalciferol,['VDR']
choline,['CHRNA2']
ciclesonide,['SERPINA6']
cilastatin,['DPEP1']
cilostazol,['PDE3A']
ceritinib,['ALK']
cefotaxime,['Bact vanYB']
cinacalcet,['CASR']
cefepime,['Bact mrdA']
buspirone,['HTR1A']
butabarbital,['A']
butalbital,['A']
butorphanol,['OPRD1']
cabergoline,['D2R']
calcitriol,['VDR']
canakinumab,['IL1B']
candesartan,['AGTR1']
cangrelor,['P2RY12']
capecitabine,['Candi TMP1']
capsaicin,['TRPV1']
captopril,['ACE']
carbidopa,['DDC']
carbinoxamine,['H1R']
carglumic acid,['CPS1']
carteolol,['ADRB1']
caspofungin,['Fung GSC2']
cimetidine,['H2R']
citalopram,['SERT']
loratadine,['H1R']
daptomycin,['Bact folP']
darifenacin,['CHRM3']
darunavir,['HIV PR']
deflazacort,['NR3C1']
degarelix,['GNRHR']
delavirdine,['HIV RT']
demeclocycline,['Stap-coc pbp2']
denosumab,['ODF']
desipramine,['NET']
desloratadine,['H1R']
desogestrel,['PGR']
desvenlafaxine,['SERT']
dexamethasone,['NR3C1']
dextroamphetamine,['TAAR1']
dextromethorphan,['OPRS1']
diazepam,['TSPO']
dicyclomine,['CHRM1']
didanosine,['HIV RT']
darbepoetin alfa,['EPOR']
dapsone,['PC DHPS']
cladribine,['ADA']
dapagliflozin,['SGLT2']
clemastine,['H1R']
clidinium,['CHRM1']
clofarabine,['RIR']
clomipramine,['SERT']
clonidine,['AOC3']
clopidogrel,['P2RY12']
clotrimazole,['CXCR2']
clozapine,['D4R']
codeine,['OPRD1']
coenzyme a,['HMGCR']
cyclopentolate,['CHRM5']
cyproheptadine,['H1R']
cysteamine,['SST']
cytarabine,['HSV UL30']
dabrafenib,['BRAF']
daclatasvir,['HCV NS5A']
danazol,['ESR']
buprenorphine,['MOP']
bupivacaine,['SCN10A']
bumetanide,['SLC12A1']
alogliptin,['DPP-4']
alprazolam,['TSPO']
alteplase,['PLG']
amantadine,['Influ M']
ambrisentan,['EDNRA']
amiloride,['ASIC1']
aminophylline,['PDE3A']
amlodipine,['CACNA2D1']
amobarbital,['A']
amoxapine,['NET']
amphetamine,['TAAR1']
amprenavir,['HIV PR']
anagrelide,['PDE3A']
anakinra,['IL1R1']
anastrozole,['CYP19A1']
apixaban,['F10']
apomorphine,['D2R']
aprepitant,['TACR1']
alosetron,['HTR3A']
allopurinol,['XDH']
budesonide,['NR3C1']
aliskiren,['REN']
abciximab,['GPIIb/IIIa']
abiraterone,['S17AH']
acarbose,['MGAM']
acebutolol,['ADRB1']
acetazolamide,['CA-I']
acetohydroxamic acid,['Bact ureC']
acitretin,['STAT3']
acrivastine,['H1R']
adalimumab,['TNF']
adenosine,['ADORA2B']
albiglutide,['GLP1R']
aldesleukin,['IL2']
alectinib,['ALK']
alemtuzumab,['CD52']
alfentanil,['MOP']
alfuzosin,['ADRA1D']
alglucosidase alfa,['M6PR']
arformoterol,['ADRB2']
aripiprazole,['D2R']
armodafinil,['ADRA1D']
artemether,['ATP1A1']
benazepril,['ACE']
benzoic acid,['RAB9A']
benzonatate,['SCN5A']
betamethasone,['NR3C1']
betaxolol,['ADRB1']
bexarotene,['RXRA']
bicalutamide,['AR']
bisoprolol,['ADRB1']
boceprevir,['HCV NS3/4A']
bortezomib,['PRSS1']
botulinum toxin type a,['SNAP25']
brentuximab vedotin,['TNFRSF8']
brimonidine,['ADRA2C']
brinzolamide,['CA-IV']
bromfenac,['COX-1']
bromocriptine,['D2R']
brompheniramine,['H1R']
belimumab,['TNFSF13B']
belatacept,['CD28']
bedaquiline,['MycB Prop']
avanafil,['PDE5A']
atazanavir,['HIV PR']
atenolol,['ADRB1']
atomoxetine,['NET']
atorvastatin,['HMGCR']
atovaquone,['Malaria DHOdehase']
atropine,['CHRM5']
auranofin,['ESRR']
axitinib,['KDR']
bazedoxifene,['ESR']
azathioprine,['PPAT']
azelaic acid,['SRD5A']
azelastine,['H1R']
bacitracin,['IDE']
baclofen,['GABBR']
balsalazide,['COX-1']
basiliximab,['IL2RA']
diflunisal,['COX-2']
dihydroergotamine,['D2R']
diltiazem,['CACNA2D1']
hydrochlorothiazide,['ACE']
hydroflumethiazide,['SLC12A1']
hydroxocobalamin,['MMUT']
hydroxychloroquine,['TLR7']
hydroxyurea,['RRM2']
hydroxyzine,['H1R']
hyoscyamine,['CHRM5']
ibrutinib,['ATK']
icatibant,['BDKRB2']
icosapent,['COX']
idarubicin,['TOP2']
idelalisib,['PIK3CD']
idursulfase,['IDS']
iloprost,['PTGER2']
imipenem,['Bact mrdA']
imipramine,['NET']
imiquimod,['TLR7']
indacaterol,['ADRB2']
hydrocodone,['MOP']
hydralazine,['AOC3']
fluvoxamine,['SERT']
haloperidol,['D2R']
fosinopril,['ACE']
fosphenytoin,['SCN5A']
fulvestrant,['ESR']
furosemide,['SLC12A1']
gabapentin,['GABBR']
galantamine,['AChE']
galsulfase,['G4S']
ganciclovir,['HSV UL30']
gefitinib,['EGFR']
gemcitabine,['RRM2']
gemfibrozil,['LPL']
gemtuzumab ozogamicin,['CD33']
glipizide,['KCNJ10']
glucosamine,['IL1B']
glycine,['NMDAR2A']
golimumab,['TNF']
goserelin,['GNRH1']
indapamide,['KCNQ1']
indinavir,['HIV PR']
indomethacin,['COX-2']
infliximab,['TNF']
leflunomide,['Malaria DHOdehase']
lenalidomide,['TNF']
lenvatinib,['KDR']
letrozole,['CYP19A1']
leuprolide,['GNRH1']
levobunolol,['ADRB1']
levodopa,['D2R']
levonorgestrel,['PGR']
levothyroxine,['THRA']
lidocaine,['SCN11A']
linagliptin,['DPP-4']
liothyronine,['THRA']
liraglutide,['GLP1R']
lisdexamfetamine,['TAAR1']
lisinopril,['ACE']
lomefloxacin,['TOP2']
loperamide,['OPRD1']
latanoprost,['PTGFR']
lamotrigine,['SCN11A']
lamivudine,['HIV RT']
irinotecan,['TOP1']
interferon alfacon-1,['IFNAR2']
interferon beta-1a,['IFNB1']
interferon beta-1b,['IFNAR2']
interferon gamma-1b,['IFNGR2']
iodipamide,['ALB']
ipilimumab,['CTLA-4']
irbesartan,['AGTR1']
iron,['HB']
ketorolac,['COX']
iron dextran,['HB']
isocarboxazid,['MAO-A']
isoniazid,['Bact inhA']
itraconazole,['Candi ERG11']
ivermectin,['Onchoc GluCl']
ketoconazole,['Candi ERG11']
ketoprofen,['COX-2']
formoterol,['ADRB2']
fluvastatin,['HMGCR']
diphenoxylate,['MOP']
ecallantide,['KLKB1']
efavirenz,['HIV RT']
eflornithine,['ODC1']
elvitegravir,['HIV IN']
emtricitabine,['HIV RT']
enalapril,['ACE']
enalaprilat,['ACE']
enfuvirtide,['HIV gp41']
entacapone,['COMT']
enzalutamide,['AR']
ephedrine,['D2R']
epinephrine,['ADRB1']
epirubicin,['TOP2']
eplerenone,['MR']
epoprostenol,['PTGIR']
eprosartan,['AGTR1']
eptifibatide,['GPIIb/IIIa']
ergocalciferol,['VDR']
edrophonium,['AChE']
dyclonine,['SCN5A']
flutamide,['AR']
dutasteride,['SRD5A']
dipyridamole,['PDE5A']
disopyramide,['SCN5A']
disulfiram,['ALDH3A2']
dobutamine,['ADRB1']
dolasetron,['HTR3A']
dolutegravir,['HIV IN']
donepezil,['AChE']
dopamine,['D2R']
doripenem,['Bact folP']
dorzolamide,['CA-II']
doxazosin,['ADRA1D']
doxepin,['H1R']
doxercalciferol,['VDR']
doxylamine,['H1R']
dronedarone,['KCNA5']
droperidol,['D2R']
drospirenone,['MR']
erlotinib,['EGFR']
escitalopram,['SERT']
esmolol,['ADRB1']
esomeprazole,['+']
fenoldopam,['D1R']
fenoprofen,['COX']
fentanyl,['MOP']
fexofenadine,['H1R']
fingolimod,['S1PR1']
floxuridine,['Candi TMP1']
fluconazole,['Candi ERG11']
flucytosine,['Candi TMP1']
fludarabine,['ADA']
flunisolide,['NR3C1']
fluocinolone acetonide,['NR3C1']
fluorometholone,['NR3C1']
fluoxetine,['SERT']
fluoxymesterone,['AR']
fluphenazine,['HTR1B']
flurazepam,['TSPO']
flurbiprofen,['COX-2']
fenofibrate,['PPARA']
febuxostat,['XDH']
famotidine,['H2R']
etidronic acid,['R-PTP-sigma']
estazolam,['TSPO']
estradiol,['ESR']
estrone,['ESR']
eszopiclone,['TSPO']
ethambutol,['MycB embC']
ethosuximide,['CACNA1G']
ethotoin,['SCN5A']
etodolac,['COX-2']
famciclovir,['HSV UL30']
etomidate,['A']
etonogestrel,['PGR']
etoposide,['TOP2']
everolimus,['mTOR']
exemestane,['CYP19A1']
exenatide,['GLP1R']
ezetimibe,['NPC1L1']
zolpidem,['A']
